date,sentence,sentiment
06/02/2022 02:21:02,masyarakat indonesia wajib peran aktif bantu kerja kpk polisi republik indonesia jaksa agung masuk presiden jokowi awas guna dana jelang pilpres pilpres,positif
06/02/2022 20:44:26,heran deh kerja polisi,negatif
07/02/2022 03:39:09,komitmen kapolri baik citra kerja polisi republik indonesia konsep polisi republik indonesia presisi prediktif responsibilitas transparansi adil transformasi polisi republik indonesia jadi lembaga modern kredibel layan responsif kembang,positif
07/02/2022 04:20:19,kerja polisi republik indonesia makin tingkat ayo ketat prokes,positif
07/02/2022 05:41:50,rupa bentuk reward anggota polisi republik indonesia baik laksana tugas pokok dapat maksimal harap beri harga tingkat kerja anggota polisi republik indonesia metro bekas kota,positif
07/02/2022 10:38:39,geram banget sama kerja lelet,negatif
08/02/2022 00:56:24,kerja polisi preketek,negatif
08/02/2022 10:56:32,irjen fadil selamat hari pers kawan kawan bosan kritik kerja polisi republik indonesia,negatif
08/02/2022 12:45:53,makin percaya kerja kalian asli,negatif
08/02/2022 22:49:06,pak anak buah pak baca atuh koment netizen indo war biasah kerja makin bener,negatif
09/02/2022 04:45:20,terimakasih sobat polisi republik indonesia apresiasi terus tingkat kerja beri lindung ayom layan masyarakat,positif
09/02/2022 04:59:07,warga wadas bantah nyata polisi bukan terima kunjung serbu,negatif
09/02/2022 07:46:56,nah kan kalah ajah rapat dukung kerja menang masa pilih mau dukung program pilih,negatif
09/02/2022 15:48:39,astagah sesuai narasumber sini kerja polisi republik indonesia makin marsamburetan profesional moga ulang dampak coreng institusi polisi republik indonesia depan,negatif
11/02/2022 01:19:05,dasar data banyak tinggal omicron komorbid vaksin lengkap wah provokator anti vaksin hrsnya ikut tanggung jawab,negatif
11/02/2022 02:30:28,mesti negara hadir tindak provikator anti vaksin pribadi pesimis terhdp kerja,negatif
11/02/2022 03:21:20,rakyat banyak percaya pak kerja pak polis banyak tebang pilih suka laku keras tonton media malu ayom rakyat,negatif
13/02/2022 03:10:27,berkat kerjasama sinergis seluruh pihak khusus tentara republik indonesia polisi republik indonesia angsur angsur situasi wadas makin baik cipta kondisi lepas pulih situasi lalu giat positif tentara republik indonesia polisi republik indonesia bentuk bakti sosial wadaskondusif,positif
13/02/2022 07:18:34,hayo pak pol kata mau baik kerja banyak keluh memang lebih baik viralkan buat lapor,negatif
13/02/2022 07:25:02,imm jatim desak polisi republik indonesia minta maaf warga wadas presiden jokowi evaluasi kerja polisi wadas,negatif
13/02/2022 12:45:56,sjw tu selalu sudut polisi republik indonesia kerja polisi republik indonesia bener mata sjw bahkan anggota polisi republik indonesia paksa tembak residivis bawa senjata api sajam serang diri sjw sudut polisi republik indonesia trus sjw teriak polisi semena wadas mbel gedes,negatif
13/02/2022 14:37:36,kapan proses ferdinand cepat sekali proses kawal donk kerja polisi republik indonesia,negatif
13/02/2022 16:52:46,tangkap duga teroris ketua ji sama anggota mui bengkulu ipw apresiasi kerja polisi republik indonesia densus,positif
14/02/2022 03:00:58,denny siregar aksi tembak thd orang laskar fpi jadi putus tepat anggap ancam nyawa polisi belum polisi bela negara bebas ipda yusmin briptu fikri,positif
14/02/2022 03:01:25,raih rating tinggi nilai kerja polisi republik indonesia kepala polisi daerah sumut terus komitmen tingkat layan masyarakat,positif
14/02/2022 03:02:20,kerja anggota polisi republik indonesia cukup bagus aman bangsa negara depan polisi bela negara,positif
14/02/2022 14:26:48,polisi republik indonesia tebing tinggi raih rating tinggi nilai kerja polisi republik indonesia terus komitmen tingkat layan masyarakat,positif
15/02/2022 02:33:06,raih rating tinggi nilai kerja polisi republik indonesia kepala polisi daerah sumut terus komitmen tingkat layan masyarakat lewat news,positif
15/02/2022 07:36:15,kasus kayak sinetron episode nambah terus cerita makin ngk nyambung lapor masuk juli tahun bulan,negatif
15/02/2022 07:40:04,terimakasih kerja bapak tentara republik indonesia polisi republik indonesia moga wadaskondusif,positif
15/02/2022 07:43:27,puslitbang polisi republik indonesia pusat teliti kembang polisi republik indonesia laksana teliti tingkat percaya masyarakat kerja polisi republik indonesia survei indek kamtibmas wilayah polisi republik indonesia tapanuli tengah jajar hari selasa,positif
15/02/2022 08:06:25,bapak kapolri bangga kerja polisi republik indonesia kerja lelah pamrih wadaskondusif,positif
15/02/2022 08:08:15,terimakasih kerja tentara republik indonesia polisi republik indonesia wadaskondusif,positif
15/02/2022 08:30:10,terimakasih tentara republik indonesia polisi republik indonesia kerja peduli warga,positif
15/02/2022 08:33:27,tinggi nilai kerja polisi republik indonesia kepala polisi daerah sumut komit tingkat layan publik via,positif
15/02/2022 09:03:45,hoax bajing perintah sendiri polisi republik indonesia baik kerja polisi republik indonesia mata masyarakat kerja kuasa serakah,negatif
15/02/2022 14:11:12,tim puslitbang polisi republik indonesia laku teliti tingkat percaya masyarakat kerja polisi republik indonesia polisi republik indonesia bintan lewat co id,positif
16/02/2022 03:30:54,bangga kerja polisi republik indonesia selalu totalitas kpda masyarakat melayanidalampengabdian ayom jaga kamtibmas,positif
16/02/2022 03:47:10,kerja polisi republik indonesia patut apresiasi nusantara miniatur indonesia,positif
16/02/2022 04:29:56,puslitbang polisi republik indonesia teliti tingkat percaya masyarakat kerja polisi republik indonesia bintan,positif
16/02/2022 04:54:58,mantap buat kerja polisi republik indonesia layan masyarakat melayanidalampengabdian,positif
16/02/2022 05:45:47,petinggi polisi republik indonesia petinggi partai otomatis semua anak buah bawa manut bae lalu percaya harap polisi republik indonesia kerja polisi republik indonesia semua omong kosong,negatif
16/02/2022 06:18:27,heran kerja polkis wakanda serang bau islam sengaja ulur bagai alas untung bukan indonesia,negatif
16/02/2022 09:10:15,kerja densus antireror polisi republik indonesia dampak turun indeks risiko laku terorisme beri multiplier effect bangsa indonesia kerja keras densus dampak tingkat stabilitas aman tertib masyarakat,positif
16/02/2022 10:18:09,mantap buat kerja polisi republik indonesia layan masyarakat melayanidalampengabdian,positif
16/02/2022 11:12:32,raih rating tinggi kerja polisi republik indonesia kepala polisi daerah sumut terus komitmen tingkat layan masyarakat,positif
16/02/2022 11:39:49,kerja lembaga perintah polisi republik indonesia jaksa ri kpk makin efektif berani profesional berantas korupsi satu nusantara kuat,positif
16/02/2022 12:53:51,jaman sby rakyat akur jaman saling cap nama nama hewan kadal gurun onta yaman kebo cikeas sapi cebong kampret kuda dan lain jaman sby rakyat kritis sama kerja perintah saling hujat,negatif
16/02/2022 13:16:53,puslitbang polisi republik indonesia survey percaya masyarakat kerja polisi republik indonesia tanjungpinang,positif
16/02/2022 13:16:54,puslitbang polisi republik indonesia survey percaya masyarakat kerja polisi republik indonesia tanjungpinang,positif
17/02/2022 02:16:06,tingkat kerja tangan terorisme densus antiteror kaji tambah personel densusantiteror densustambahpersonel penangananterorisme polisi republik indonesia jenderallistyosigitprabowo,positif
17/02/2022 03:07:58,kerja lembaga perintah polisi republik indonesia jaksa ri kpk makin efektif berani profesional berantas korupsi satu nusantara kuat,positif
19/02/2022 00:45:17,heran kerja aparat selalu tunggu lapor bukankah aparat punya mampu mem mi mana potensi bahaya satu satu,negatif
19/02/2022 23:47:49,begini kerja polisi republik indonesia ukur wahai bapak koruptor hukum tahun rakyat lapar perlu sidang dimatiin sidi,negatif
20/02/2022 03:58:38,terima kasih jenderal respon kapolri minta sinta aulia anak derita tumor kaki sembuh cita cita jadi polwan polisi republik indonesia responsif,positif
20/02/2022 04:25:42,kepala polisi republik indonesia rohil pimpin rapat anev upaya tingkat kerja polisi republik indonesia,positif
20/02/2022 04:25:50,mantap kerja polisi republik indonesia responsif,positif
20/02/2022 04:27:15,mantaf kerja polisi republik indonesia polisi republik indonesia responsif,positif
20/02/2022 04:38:44,kepala polisi republik indonesia rohil pimpin rapat anev upaya tingkat kerja polisi republik indonesia,positif
20/02/2022 04:49:02,kepala polisi republik indonesia rohil pimpin rapat anev upaya tingkat kerja polisi republik indonesia,positif
20/02/2022 10:55:01,kerja baik tentara republik indonesia polisi republik indonesia peduliwadas,positif
20/02/2022 11:55:54,seru tanding keluarga presiden sejajar dng kerja tingkat gubernur,negatif
20/02/2022 13:00:06,bener kerja makin parah kasihan pak kapolri anak buah makin presisi,negatif
21/02/2022 00:32:24,lebih lanjut presiden tegas polisi republik indonesia ragu berantas mafia tanah aparat beking cc kapolri kasus dokter momentum polisi republik indonesia bukti kerja pihak masyarakat jalan perintah pak jokowi,positif
21/02/2022 03:49:16,kerja densus anti teror polisi republik indonesia beri efek ganda,negatif
21/02/2022 06:04:33,tisik cara harpiah makna hkm laku negeri makna kerja tentara republik indonesia polisi republik indonesia langgar hkm lansung pecat bui melarat jlas bukti bila banding selenggara negara dpr dan lain cuma benar mas tertawa langgar hkm,negatif
21/02/2022 08:22:20,tim pusat teliti kembang puslitbang polisi republik indonesia laku teliti tingkat percaya masyarakat kerja polisi republik indonesia polresta sidoarjo senin,positif
21/02/2022 10:06:51,tindak tegas rakyat makin percaya kerja polisi perintah,negatif
21/02/2022 10:08:36,tim puslitbang polisi republik indonesia rangka teliti tingkat percaya masyarakat kerja polisi republik indonesia polisi republik indonesia mempawah tahun,positif
22/02/2022 11:47:20,sikat abis parah bandar narkoba kerja polisi republik indonesia berantas edar narkoba sangat luar biasa bravo polisi republik indonesia,positif
22/02/2022 13:05:34,kerja lembaga perintah polisi republik indonesia jaksa ri kpk makin efektif berani profesional berantas korupsi,positif
22/02/2022 13:08:11,tim puslitbang polisi republik indonesia laku teliti percaya masyarakat kerja polisi republik indonesia mempawah lewat,positif
28/02/2022 03:23:46,temu menko polhukam bsm polisi republik indonesia jaksa tsb timbul tafsir perintah percaya thdp kerja aparat sidik sesuau atur perintah laku intervensi sesuai selera perintah betul kasus presure publik,negatif
28/02/2022 03:25:38,aku semenjak bawah kapolri kerja percaya polisi republik indonesia turun kecewa mohon perhati pak,negatif
01/03/2022 05:50:08,jaksa agung jaksa tahu nurhayati nyata lapor kasus korupsi dana desa,negatif
01/03/2022 07:13:12,tagline keren kerja hancur polisi republik indonesia presisi sengaja jaksa agung proporsional tahu,negatif
01/03/2022 08:45:21,puan maharani apresiasi kerja tentara republik indonesia polisi republik indonesia sinergipulihkanekonomi rapim tentara republik indonesia polisi republik indonesia,positif
01/03/2022 14:43:32,makin turun kerja prestasi bagaimana pak jepang pimpin undur diri,negatif
01/03/2022 17:27:33,bapak fokus benah internal urus vaksinasi serah menteri sehat pak puas masyarakat kerja polisi republik indonesia makin turun,negatif
02/03/2022 00:53:21,noel joman munarman nafi kerja polisi republik indonesia densus,negatif
02/03/2022 02:37:46,irwasda polda bengkulu pimpin laksana ingat isra mikraj nabi besar muhammad saw hijriah masehi polda bengkulu tema hikmah isra mikraj nabi besar muhammad saw tingkat iman kerja wujud polisi republik indonesia presisi,positif
02/03/2022 03:00:00,yaps emang patut apresiasi kerja tentara republik indonesia polisi republik indonesia soal ngebantu banget dah solid sinergi tentara republik indonesia polisi republik indonesia satu jaga negeri,positif
02/03/2022 03:00:01,rapim ketua majelis musyawarat rakyat apresiasi kerja tentara republik indonesia polisi republik indonesia mantap solid sinergi tentara republik indonesia polisi republik indonesia satu jaga negeri,positif
02/03/2022 03:00:02,apresiasi beri presiden jokowi kerja seluruh jajar tentara republik indonesia polisi republik indonesia bantu perintah tangan bencana solid sinergi tentara republik indonesia polisi republik indonesia satu jaga negeri,positif
02/03/2022 03:31:57,kerja polisi republik indonesia profesional,negatif
02/03/2022 03:51:26,mau dekat hati rakyat yo tentara republik indonesia polisi republik indonesia benah diri tingkat kerja profesional hindar konflik selesai masalah cara musyawarah mufakat sengketa lahan ujung konflik polisi republik indonesia asal tetap sangka,negatif
02/03/2022 04:16:46,umum bagaimana dapat kerja polisi republik indonesia khusus polisi republik indonesia sijunjung laksana operasi selamat serta komentar,positif
02/03/2022 05:14:38,contoh caption tingkat kerja profesional proporsional capai cita cita jadi polisi republik indonesia presisi ditpamobvit polda diy laksana apel ranmor dinas guna kendara operasional laksana tugas hari hari,positif
02/03/2022 08:00:23,mau ancam yaaaa ancam,negatif
02/03/2022 08:49:18,lama kerja polisi republik indonesia sangat bagus kasus kait kuasa,negatif
02/03/2022 09:04:11,kasus munarman kasus hukum bkn politik kait undang undang teroris kerja bumn libat proses hukum tampa minta jadi saksi ngak proses politik siapa cc,negatif
02/03/2022 09:53:09,hikmah isra mi raj nabi tingkat iman kerja wujud polisi republik indonesia presisi,positif
02/03/2022 11:23:05,hadir rapim polisi republik indonesia menkeu ri apresiasi polisi republik indonesia dukung pulih ekonomi menteri uang menkeu ri sri mulyani indrawati beri apresiasi terima kasih kerja polisi republik indonesia peran beritabaik timesindonesia ketahananinformasi,positif
02/03/2022 14:09:57,puas kan kerja polisi republik indonesia,positif
02/03/2022 15:18:26,isra mi raj nabi muhammad patut jadi contoh tauladan tingkat iman kerja polisi republik indonesia isramirajh kimcipedes,positif
02/03/2022 15:47:34,kata survey tingkat puas rakyat thd kerja jokowi bohong kagak tahu takut sama wag keluarga tentara republik indonesia polisi republik indonesia pak jokowi percaya sama survey biaya geng sendiri,negatif
03/03/2022 04:41:25,hasil turun kasus pandemi covid rupa kerja bagai pihak masuk polisi republik indonesia main peran besar tega ppkm vaksinasi testing tracing jaga aman masyarakat menko marves jenderal tentara republik indonesia purn luhut binsar pandjaitan,positif
03/03/2022 09:20:53,salah selalu ulang makin kacau kerja polisi republik indonesia jaksa,negatif
03/03/2022 09:24:40,sampai butuh dukung polisi republik indonesia selenggara presidensi menko airlangga puji kerja kapolri cs tangan pandemi,positif
04/03/2022 03:41:19,ingat isra mi raj rangka wujud iman kerja tuju polisi republik indonesia presisi jogomalang polripresisi,positif
04/03/2022 03:47:00,polsek mlati ingat isro mi raj nabi muhammad saw ada aji tema hikmah isra mi raj nabi besar muhammad saw tingkat iman kerja wujud polisi republik indonesia presisi ceramah bapak sigit purnomo mh,positif
04/03/2022 04:00:08,ingat tahun tema hikmah isra mi raj nabi muhammad saw tingkat iman kerja wujud polisi republik indonesia presisi isra mi rajh,positif
04/03/2022 05:25:24,ingat isra mi raj rangka wujud iman kerja tuju polisi republik indonesia presisi jogomalang,positif
04/03/2022 06:30:19,polisi republik indonesia jepara ingat isra mi raj tingkat iman kerja wujud polisi republik indonesia presisi,positif
04/03/2022 16:56:38,kata kasus lanjut sangat sayang sekali kasus seret banyak pihak kalah byk bukti valid uang mulai nyari cenayang sana buat nge protect wqwq,negatif
04/03/2022 17:06:46,sini sadar kerja polisi republik indonesia lebih mending enggak polisi indo bakal ngusut kasus kayak gin emang pikir nalar orang libat curiga semua tambah kasus viral,negatif
05/03/2022 00:39:07,ingat isra mi raj masjid al asykar angkat tema hikmah isra mi raj nabi besar muhammad saw wujud iman kerja wujud polisi republik indonesia presisi langsung khidmat iring lantun sholawat nabi tim hadrah anggota polisi republik indonesia situbondo,positif
05/03/2022 13:27:27,teroris radikal radikul hantu cuman main perintah alih isu rakyat pokus perhati kerja pemerinta,negatif
06/03/2022 01:14:09,realitanya sederhana kok polisi sudh jadi jabat politis segitu pengaruh mata masyarakat lepas kerja kini bnyak jabat strategis isi polisi militer anggar polisi republik indonesia mnjadi salah satu paling besar pmrintahan jokowi,negatif
07/03/2022 09:23:51,dirbinmas polda banten beri apresiasi kerja personel bantu masyarakat dampak banjir senin pendekarbanten polda banten,positif
07/03/2022 10:33:04,polisi republik indonesia jepara ingat isra mi raj tingkat iman kerja wujud polisi republik indonesia presisi,positif
07/03/2022 10:42:33,harus cepat ganti benar menteri kait atas masalah sepele mampu rusak kerja perintah jokowi,positif
07/03/2022 13:47:40,bijak menkeu hapus tunjang kerja pns fatal hapus tunjang tiba hancur hidup pns tiba orang pns hilang income juta per bulan angsur barang bayar betul buat pns jadi tengah gila,negatif
08/03/2022 03:06:20,min sempat baik buat baik citra kerja polisi republik indonesia mata netijen materai rb kata damai bpk ibu polisi republik indonesia tercintaahh,negatif
08/03/2022 10:42:02,polisi republik indonesia jepara ingat isra mi raj tingkat iman kerja wujud polisi republik indonesia presisi,positif
08/03/2022 10:51:08,tribratanewsmanggaraitimur tim puslitbang polisi republik indonesia laksana teliti tingkat percaya masyarakat kerja polisi republik indonesia laksana aula lantai iii polisi republik indonesia manggarai timur,positif
08/03/2022 12:20:02,wujud iman kerja wujud polisi republik indonesia presisi polisi republik indonesia sumenep ingat isra mi raj,positif
08/03/2022 22:46:17,benar kerja polisi bagus sayang banyak oknum polisi langgar disiplin sendiri mulai kecil hingga besar,negatif
09/03/2022 03:14:28,dear tahu lapor kena saudara berkas lapor sebut tumpuk berkas lapor lain hilang entah butuh jelas pak hampir bulan,negatif
09/03/2022 05:05:20,otak kau mungkin perlu cuci oli bekas campur taik babi biss beda kerja densus anggota tentara republik indonesia polisi republik indonesia,negatif
09/03/2022 07:07:13,hak hak milik anggota polisi republik indonesia masuk keluarga hak upa gaji tunjang keluarga tunjang suami istri anak keluarga tunjang beras lauk pauk tunjang kerja semua atur jelas,positif
09/03/2022 07:17:12,kerja kini sangat kecewa lapor hina laku nicho proses hukum rindu tegas kapolri era pak tito pak idham azis,negatif
09/03/2022 07:22:44,jauh lebih baik kepala polisi daerah metro jaya kerja,negatif
10/03/2022 13:47:18,kepala polisi daerah malu ingat isra miraj hikmah isra miraj tingkat iman kerja wujud polisi republik indonesia presisi wilayah hukum polda malu humaspoldamaluku divisihumaspolri,positif
10/03/2022 15:15:03,kepala polisi republik indonesia wonogiri akbp dydit dwi susanto terima harga kategori sangat baik evaluasi kerja layan publik lingkup polisi republik indonesia tahun menteri pendayagunaan aparatur negara reformasi birokrasi,positif
10/03/2022 16:09:46,kapolrestabes semarang kombes pol irwan anwar hum terima harga giat evaluasi kerja layan publik lingkup polisi republik indonesia th menteri pendayagunaan aparatur negara reformasi birokrasi aula awaloedin djamin lt gedung bareskrim polisi republik indonesia,positif
11/03/2022 01:14:53,polisi republik indonesia pasuruan kota ingat isra mir aj tahun tingkat iman takwa kerja wujud polisi republik indonesia presisi presisi polripresisi jawatimurbangkit jogopaskot,positif
11/03/2022 02:55:25,guna layan skck sedang isi survey polisi republik indonesia nilai kerja,positif
11/03/2022 04:20:46,tuban kepala polisi republik indonesia tuban akbp darman hadir giat evaluasi kerja layan publik lingkup polisi republik indonesia tahun terima terima harga layan publik kategori layan prima kemenpan rb ri kamis,positif
11/03/2022 07:06:25,polisi republik indonesia bangkal gelar ingat isra mi raj nabi besar muhammad saw hikmah isra mi raj nabi besar muhammad saw wujud iman kerja wujud polisi republik indonesia presisi,positif
12/03/2022 02:28:52,hai kalian media sampai div humas polisi republik indonesia masyarakat percaya kerja polisi institusi selalu benar bela diri laku harun masuk tangkap,negatif
12/03/2022 11:34:17,kerja polisi republik indonesia makin hari makin buruk,negatif
12/03/2022 16:16:59,repost wapres ri apresiasi polisi republik indonesia terus laku transformasi layan masyarakat wakil presiden republik indonesia wapres ri ma ruf amin apresiasi kerja polisi republik indonesia terus laku tranformasi layan masyarakat,positif
12/03/2022 19:14:07,alhamdulilah polisi republik indonesia barelang masuk benar waktu ngurus sim rasa layan benar beda dulu moga makin bagus kerja layan rakyat sayang polsek msh banyak baik,negatif
13/03/2022 00:02:05,minimal tahan kerja baik anggota masyarakat bangga dapat informasi,positif
13/03/2022 00:29:26,alhamdulillah kerja polisi republik indonesia baik moga baik audit,negatif
13/03/2022 13:03:51,mohon maaf percaya kerja polisi republik indonesia,negatif
13/03/2022 17:00:15,fakta anggota polisi republik indonesia tentara republik indonesia jual senjata kkb lantas polisi republik indonesia tentara republik indonesia salah oknum oknum kan sama hal mui bila kerja sdm masalah baik kerja sdmnya lebih profesional bukan mlh badan singkir,negatif
13/03/2022 22:53:02,kompolnas laksana fungsi awas fungsional kerja polisi republik indonesia mem bebek selalu benar tindak polisi republik indonesia,negatif
14/03/2022 06:42:29,nista agama islam lapor kerja hati hati saudara saudari bangsa tanah air adu domba maasuk semua celah pancing hancur nkri laoorkan,negatif
14/03/2022 15:33:58,kanwil kemenkumham sumsel irjen pol drs ton harmanto kata tingkat kerja tega hukum selesai perkara rupa indikator percaya masyarakat polisi republik indonesia kumhampasti kumhamsumsel,positif
14/03/2022 16:24:34,ramai siapa edit respect banget sama kerja siber bareskrim polisi republik indonesia uda miskin doni salmanan indra kenz jadi sangka tipu online negeri bravo,negatif
14/03/2022 18:06:50,kanwil kemenkumham sumsel irjen pol drs ton harmanto kata tingkat kerja tega hukum selesai perkara rupa indikator percaya masyarakat polisi republik indonesia kumhampasti kumhamsumsel,positif
15/03/2022 07:03:56,kanwil kemenkumham sumsel irjen pol drs ton harmanto kata tingkat kerja tega hukum selesai perkara rupa indikator percaya masyarakat polisi republik indonesia kumhampasti kumhamsumsel,positif
15/03/2022 08:18:06,hey sobatkeu nusantara sespuskeu polisi republik indonesia pimpin taklimat akhir audit kerja itwasum polisi republik indonesia tahap puskeupolritepat,negatif
15/03/2022 10:20:42,kerja nyebelin emosi gaji besar kerja sangat mua orang wanita lapor ada korupsi malah jadi sangka asu tenan,negatif
15/03/2022 15:10:56,banyak isntansi polisi republik indonesia terima prima award kemenpan rb kerja baik beri layan publik baik masyarakat pelayananpublik polripresisi bhayangkarakita,negatif
15/03/2022 21:11:11,kerja mantap buat polisi republik indonesia lanjut pak berantas semua mafia migor tindakpenimbunmigor tim satgas pangan,negatif
16/03/2022 03:15:02,misal begini trus salah masyarakat percaya aparat polisi yakin pak polisi tagar percumlaporpolisi instagram media sosial kerja polisi mas tetap heran,negatif
16/03/2022 14:06:17,alhamdulillah pak moga naik harga minyak goreng selalu pasar terima kasih kerja kerjasama baik polisi republik indonesia terima kasih pak camping nyata sia sia,positif
16/03/2022 22:26:31,wahh makin hari selalu beri kerja baik bareskrim polisi republik indonesia bongkar palsu oli pt pertamia luar biasa banget deh wujudkeamanannegeri berantas tuntas mafia,positif
17/03/2022 03:00:00,wow kerja baik bareskrim polisi republik indonesia sita aset petinggi ksp indosurya total wujudkeamanannegeri berantas tuntas mafia,positif
17/03/2022 03:00:01,yakin sakit jiwa gin pak kerja ukur bukti ibu sakit jiwa surat nyata rsj duga duga terus tegas pasti informasi,negatif
17/03/2022 03:00:23,hikmah isra mi raj nabi besar muhammad saw tingkat iman kerja wujud polisi republik indonesia presisi tempat masjid asy syifa polisi republik indonesia purwakarta,positif
17/03/2022 08:12:48,salur bt pklwn yogyakarta tepat waktu menko airlangga apresiasi kerja polisi republik indonesia,positif
17/03/2022 16:54:03,supervisi manajemen talenta polisi republik indonesia kapolrestabes surabaya kombes pol akhmad yusep gunawan buka supervisi manajemen talenta polisi republik indonesia nilai kerja polisi republik indonesia ta selenggara ssdm polisi republik indonesia ruang yasin polrestabes surabaya kamis,positif
17/03/2022 18:55:43,distribusi bt pklwn diy tepat sasar menko airlanga apresiasi kerja polisi republik indonesia,positif
18/03/2022 01:01:04,direktur eksekutif ksd apresiasi kerja dittipidsiber bareskrim polisi republik indonesia usut trading ilegal,positif
18/03/2022 04:23:33,salur bt pklwn jogja airlangga apresiasi kerja polisi republik indonesia,positif
18/03/2022 12:53:37,haha panglima tinggi kerja panglima,negatif
19/03/2022 08:08:30,salur bt pklwn jogja airlangga apresiasi kerja polisi republik indonesia,positif
19/03/2022 08:11:40,sukses tangan trading ilegal sesmi apresiasi kerja tim siber bareskrim polisi republik indonesia,positif
20/03/2022 16:14:51,bpkp beri dukung polisi republik indonesia tingkat tata kelola baik manajemen awas uang kerja layan publik cepat berantas tindak pidana khusus utas,positif
21/03/2022 00:42:36,hasil turun kasus pandemi covid rupa kerja bagai pihak masuk tentara republik indonesia polisi republik indonesia main peran besar tega ppkm vaksinasi testing tracing jaga aman masyarakat in donidam mon mar solusi wajib konsultasi psikologi lama didik plis adain kelas manajemen uang pribadi cara set planning masa depan stlh pensiun bukan cuma fisik mental ayo kerja citra polisi republik indonesia lebih baik yuk yuk benah semangat,positif
21/03/2022 03:21:09,jabat utama pju polisi republik indonesia parepare sambut tim audit kait kerja tahap rencana organisasi polda sulsel senin poldasulsel polisi republik indonesia,positif
21/03/2022 10:11:40,tingkat iman ketaqwaan kerja wujud polisi republik indonesia presisi polisi republik indonesia simalungun gelar isra mi raj,positif
21/03/2022 14:07:38,kerja polisi tetap status sangka juang manusia perlu tinjau sangkut percaya institusi polisi republik indonesia,negatif
21/03/2022 14:49:11,cuma becanda becandaan kurang ajar anjing,negatif
21/03/2022 23:26:58,jaga kondusifitas wilayah tentara republik indonesia polisi republik indonesia tingkat sinergitas kerja,positif
22/03/2022 02:09:28,tunggu kerja polisi republik indonesia kejar nista agama,positif
22/03/2022 13:22:08,memang profesional kerja polisi republik indonesia mohon tangkap orang orang gaduh antar agama pak tmksh,negatif
22/03/2022 17:20:30,maaf pak mas tanya kerja bapak soal harun mas tdak menjelaskana silah bapak cerah terimakasih,negatif
22/03/2022 23:37:53,korps brimob polisi republik indonesia dapat hormat kunjung irwasum polisi republik indonesia komjen pol drs agung budi maryoto rangka audit kerja periksa tahap aspek rencana organisasi tahun anggar ta,positif
23/03/2022 03:03:57,kabidpropam polda banten raih harga kerja inovasi baik kadivpropam polisi republik indonesia rakernis tahun jakarta rabu pendekarbanten polda banten,positif
23/03/2022 12:07:47,ngaku gelar ahli hukum diam ngaku paham konstitusi diam milik lapor kerja buruk jongos malah pidana mana letak daulat rakyat ada,positif
