created_at,new_date,id,id_str,username,tweet,quote_count,reply_count,retweet_count,favorite_count,geo,lang,user_id_str,conversation_id,conversation_id_str,media_url_https,media_type
Fri Feb 04 11:43:07 +0000 2022,04/02/2022 11:43:07,1489565177439977500,1489565177439977472,IrengTeratai,@ListyoSigitP \n@DivHumas_Polri \nBila ingin masyarakat percaya pada kinerja polisi jangan tebang pilih hukum ADIL.\n\nJangan biarkan kamu intoleran dan radikalisme bebas. \nKpn @Nicho_Silalahi \nDi tangkap pak sigit? https://t.co/Uz9ZIYKPy9,0,0,0,1,,in,1478298459316764673,1489565177439977500,1489565177439977472,https://pbs.twimg.com/media/FKv_ofEakAYEoyt.jpg,photo
Sun Feb 06 02:21:02 +0000 2022,06/02/2022 02:21:02,1490148499198906400,1490148499198906368,jpnncom,"Masyarakat Indonesia wajib berperan aktif membantu kinerja KPK, Polri, dan Kejaksaan Agung, termasuk Presiden Jokowi mengawasi penggunaan dana jelang Pilpres 2024. #Pilpres2024 https://t.co/Ai4qbFVq00",0,0,0,1,,in,79130206,1490148499198906400,1490148499198906368,,
Sun Feb 06 20:44:26 +0000 2022,06/02/2022 20:44:26,1490426179337216000,1490426179337216003,LilySophi3,@RiuRizkiUtomo_ @KemenkesRI @ListyoSigitP @DivHumas_Polri @CCICPolri @mohmahfudmd @Dr_Moeldoko Heran deh dgn kinerja Polisi @DivHumas_Polri @ListyoSigitP,0,0,0,0,,in,1298385263677394951,1490345713200672800,1490345713200672769,,
Mon Feb 07 03:39:09 +0000 2022,07/02/2022 03:39:09,1490530544538775600,1490530544538775556,ariestarico2,"Komitmen Kapolri untuk memperbaiki citra dan kinerja Polri dengan konsep Polri presisi, yaitu prediktif, responsibilitas, transparansi dan berkeadilan.\n\nMentransformasikan Polri menjadi lembaga yang modern, kredibel, melayani, dan responsif terhadap perkembangan. https://t.co/RtrV0qo7NV",1,2,16,17,,in,497702911,1490530544538775600,1490530544538775556,https://pbs.twimg.com/media/FK9toWpaMAE4hfR.jpg,photo
Mon Feb 07 04:20:19 +0000 2022,07/02/2022 04:20:19,1490540904129581000,1490540904129581056,Anatasy16611933,Kinerja Polri semakin meningkat\nAyo Perketat Prokes https://t.co/sB4IWE6xyB,0,0,0,0,,in,1391812033243275267,1490540904129581000,1490540904129581056,https://pbs.twimg.com/media/FK93DYJUYAAquwj.jpg,photo
Mon Feb 07 05:41:50 +0000 2022,07/02/2022 05:41:50,1490561420110733300,1490561420110733312,restrobkskota,Ini merupakan bentuk reward terhadap anggota Polri yang telah dengan baik dalam melaksanakan setiap tugas pokoknya sehingga mendapatkan hasil yang maksimal. Diharapkan dengan diberikannya penghargaan ini dapat meningkatkan kinerja anggota Polres Metro Bekasi Kota,0,0,0,0,,in,282885108,1490561163876499500,1490561163876499456,,
Mon Feb 07 10:38:39 +0000 2022,07/02/2022 10:38:39,1490636118291005400,1490636118291005440,CahTewe,@P3nj3l4j4h_id @Wawat_Kurniawan @CCICPolri @DivHumas_Polri @jokowi Gregetttt banget sama kinerja lelet 😭😭😭,0,1,0,0,,in,1356089671986503688,1490618072146739200,1490618072146739201,,
Tue Feb 08 00:56:24 +0000 2022,08/02/2022 00:56:24,1490851976787423200,1490851976787423233,AllenWa51704921,@soen_cak @DivHumas_Polri @ListyoSigitP Kinerja polisi preketek,0,0,0,0,,in,1424253876320968707,1490640199134892000,1490640199134892033,,
Tue Feb 08 10:56:32 +0000 2022,08/02/2022 10:56:32,1491003003150925800,1491003003150925828,IdSinpo,"Irjen Fadil: Selamat Hari Pers Kawan-kawan, Jangan Bosan Kritik Kinerja Polri https://t.co/cuIPNA5htc",0,0,0,0,,in,1012174601055449088,1491003003150925800,1491003003150925828,,
Tue Feb 08 12:45:53 +0000 2022,08/02/2022 12:45:53,1491030521660334000,1491030521660334086,A__W__T__,@JDAgraria Makin ga percaya dg kinerja kalian asli\n@DivHumas_Polri,0,0,0,5,,in,500785767,1490899343339298800,1490899343339298816,,
Tue Feb 08 22:49:06 +0000 2022,08/02/2022 22:49:06,1491182326092824600,1491182326092824580,49_taufik,"@KudusHumas Pak @ListyoSigitP ini anak buahmu pak ?\n\nBaca atuh koment2 netizen indo yg war biasah, biar kinerja @DivHumas_Polri semakin bener",0,0,0,0,,in,2349805298,1490933397640089600,1490933397640089601,,
Wed Feb 09 04:45:20 +0000 2022,09/02/2022 04:45:20,1491271976526442500,1491271976526442498,DivHumas_Polri,"@PunihBurung @lantas_tabalong terimakasih sobat polri atas apresiasinya 😊🙏🏻 kami akan terus meningkatkan kinerja kami dalam memberikan perlindungan, pengayoman dan pelayanan kepada masyarakat.",0,0,0,0,,in,138290629,1488693792324698000,1488693792324698112,,
Wed Feb 09 04:59:07 +0000 2022,09/02/2022 04:59:07,1491275446482194400,1491275446482194436,pikiran_rakyat,"Warga Wadas Bantah Pernyataan Polisi: Bukan Menerima Kunjungan, tapi Kami Diserbu https://t.co/uFtqxC6Wxs",101,176,1475,3654,,in,58880688,1491275446482194400,1491275446482194436,,
Wed Feb 09 07:46:56 +0000 2022,09/02/2022 07:46:56,1.49132E+18,1491317680166830081,CveNugros,@NdoeUmi @KontraS @DivHumas_Polri @ListyoSigitP @ganjarpranowo @Wadas_Melawan Nah kan.....yg kalah ajah merapat dan mendukung kinerja yg menang....masa pemilihnya gak mau dukung program pilihannya,0,0,0,0,,in,1417448528,1491060397017038800,1491060397017038854,,
Wed Feb 09 15:48:39 +0000 2022,09/02/2022 15:48:39,1491438905195102200,1491438905195102221,JunaidyNambela,"Astagah !?\nSesuai dengan narasumber ini:\nDisini juga kinerja Polri semakin marsamburetan dan tidak profesional.\nSemoga tidak terulang lagi, yg dampaknya dapat mencoreng institusi Polri kedepan nya nanti.",0,0,0,0,,in,311032039,1491438905195102200,1491438905195102221,,
Fri Feb 11 01:19:05 +0000 2022,11/02/2022 01:19:05,1491944847070359600,1491944847070359553,henrysubiakto,"Berdasar data, yg bnyk meninggal krn Omicron, selain krn komorbid, mrk BELUM DIVAKSIN lengkap. Wah jika begitu, provokator anti vaksin hrsnya ikut bertanggung jawab. https://t.co/oI1LseM5Sf",2,13,21,114,,in,201554665,1491944847070359600,1491944847070359553,,
Fri Feb 11 02:30:28 +0000 2022,11/02/2022 02:30:28,1491962813207949300,1491962813207949312,moenthe_,"mestinya negara hadir utk menindak PROVIKATOR anti vaksin, secara pribadi ,sy pesimis terhdp kinerja @DivHumas_Polri @ListyoSigitP @binofficial_ri",0,0,0,0,,in,1279698433566109697,1491962813207949300,1491962813207949312,,
Fri Feb 11 03:21:20 +0000 2022,11/02/2022 03:21:20,1491975612344696800,1491975612344696834,RudiSia72743201,"@DivHumas_Polri rakyat banyak yg ngga percaya pak dengan kinerja pak polisis, banyak tebang pilih, dan suka melakukan kekerasan, dan itu dipertontonkan dimedia, memalukan sebagai pengayom rakyat",0,0,0,0,,in,1262666505314951168,1491799095018913800,1491799095018913792,,
Sun Feb 13 03:10:27 +0000 2022,13/02/2022 03:10:27,1492697651829436400,1492697651829436416,reskrimsusjtg,"Berkat kerjasama yang sinergis antara seluruh pihak khususnya TNI-Polri, berangsur-angsur situasi Wadas semakin membaik. Terciptanya kondisi ini tdk lepas dari pemulihan situasi melalui kegiatan positif oleh TNI-Polri dlm bentuk bakti sosial.\n#WadasKondusif https://t.co/wTaUmB2C82",731,2345,709,1047,,in,1085835382753714176,1492697651829436400,1492697651829436416,https://pbs.twimg.com/ext_tw_video_thumb/1492693139320360960/pu/img/_Au8CXKU0YxEU4cI.jpg,photo
Sun Feb 13 07:18:34 +0000 2022,13/02/2022 07:18:34,1492760090319147000,1492760090319147008,AlphaAlva,"@audhinafh Hayo pak pol, kata nya mau memperbaiki kinerja, ini bnyk loh keluhan2nya.. memang lbh baik di viralkan dr pd buat laporan ya.. @DivHumas_Polri",0,0,0,0,,in,78644507,1492434506024112000,1492434506024112129,,
Sun Feb 13 07:25:02 +0000 2022,13/02/2022 07:25:02,1492761720443580400,1492761720443580416,jpnncom,IMM Jatim mendesak Polri meminta maaf kepada warga Wadas dan Presiden Jokowi mengevaluasi kinerja kepolisian. #Wadas https://t.co/q9hAAqPGOA,0,0,1,1,,in,79130206,1492761720443580400,1492761720443580416,,
Sun Feb 13 12:45:56 +0000 2022,13/02/2022 12:45:56,1492842474863095800,1492842474863095809,HASapardan,"SJW tu selalu sudutkan Polri, kinerja Polri tdk ada yg bener dimata SJW.\nBahkan ketika ada anggota Polri dg terpaksa tembak residivis yg bawa senjata api &amp; sajam yg menyerang dirinya di KM 50\nSJW lagi2 menyudutkan Polri.\n\nTrus\nSJW teriak Polisi semena2 di Wadas,\nItu mbel gedes.",0,2,10,17,,in,1380219260,1492842474863095800,1492842474863095809,,
Sun Feb 13 14:37:36 +0000 2022,13/02/2022 14:37:36,1492870575572021200,1492870575572021255,Brandon66667009,@dennysirregar7 @Haikal_Hassan Ya kapan lagi di proses @ListyoSigitP @DivHumas_Polri ..Kalau Ferdinand cepat sekali di proses ..... @PDI_Perjuangan kawal donk kinerja POLRI ini...,0,0,0,0,,in,1315252777505890306,1492771138845376500,1492771138845376515,,
Sun Feb 13 16:52:46 +0000 2022,13/02/2022 16:52:46,1492904591134015500,1492904591134015490,GendisKhansa,"Tangkap 3 Terduga Teroris Yakni Ketua JI Bersama 2 Anggota MUI Bengkulu, IPW Apresiasi Kinerja Polri (Densus 88) https://t.co/nDrd5b9f3f",0,0,0,0,,in,3369879011,1492904591134015500,1492904591134015490,,
Mon Feb 14 03:00:58 +0000 2022,14/02/2022 03:00:58,1493057650556244000,1493057650556243969,triwul82,"Menurut Denny Siregar, aksi penembakan thd 6 orang Laskar FPI sudah menjadi keputusan yang tepat karena mereka dianggap sudah mengancam nyawa polisi sebelumnya.\n#KM50PolisiBelaNegara \nBebaskan Ipda Yusmin Briptu Fikri\n@Jokowi\n@KejaksaanRI\n@Humas_MA\n@ListyoSigitP\n@mohmahfudmd https://t.co/6hZNuV5Yiv",16,23,86,152,,in,2695463725,1493057650556244000,1493057650556243969,https://pbs.twimg.com/ext_tw_video_thumb/1493057598160994310/pu/img/YGYqx-1IoplamHfY.jpg,photo
Mon Feb 14 03:01:25 +0000 2022,14/02/2022 03:01:25,1493057763601264600,1493057763601264644,MalintangPos,"Raih Rating Tertinggi Penilaian Kinerja Polri, Kapolda Sumut : Kita Terus Berkomitmen Tingkatkan Pelayanan Masyarakat https://t.co/AZt9DFiKc6",0,0,0,0,,in,809703581892739072,1493057763601264600,1493057763601264644,,
Mon Feb 14 03:02:20 +0000 2022,14/02/2022 03:02:20,1493057996133646300,1493057996133646340,Mr_Khepo,Kinerja 2 anggota Polri cukup bagus. Keamanan Bangsa dan Negara yg dikedepankan.\n#KM50PolisiBelaNegara,0,0,2,2,,in,63371404,1493057996133646300,1493057996133646340,,
Mon Feb 14 14:26:48 +0000 2022,14/02/2022 14:26:48,1493230248636596200,1493230248636596228,silaban_frish,https://t.co/tP128paEbb Polres Tebing Tinggi Raih Rating Tertinggi Penilaian Kinerja Polri dan Terus Berkomitmen Tingkatkan Pelayanan Masyarakat,0,0,0,1,,in,1239621320494567424,1493230248636596200,1493230248636596228,,
Tue Feb 15 02:33:06 +0000 2022,15/02/2022 02:33:06,1493413026124288000,1493413026124288002,sergai_sugi,"Raih Rating Tertinggi Penilaian Kinerja Polri,Kapolda Sumut : Kita Terus Berkomitmen Tingkatkan Pelayanan Masyarakat https://t.co/UuluB1jdPI lewat @Time News",0,0,0,0,,in,1242855183006044160,1493413026124288000,1493413026124288002,,
Tue Feb 15 07:36:15 +0000 2022,15/02/2022 07:36:15,1493489316588568600,1493489316588568577,Robert_Piliang,"Ini kasus udah kayak sinetron,episodenya nambah terus dan ceritanya makin ngk nyambung🤨\n\nLaporan masuk Juli 2020,udah 1 tahun 7 bulan https://t.co/ghs5FrOlZ6",71,166,591,1334,,in,1180825246439333888,1493489316588568600,1493489316588568577,https://pbs.twimg.com/media/FLnwnPKakAUmqqg.jpg,photo
Tue Feb 15 07:40:04 +0000 2022,15/02/2022 07:40:04,1493490279055196200,1493490279055196160,S440daraR,Terimakasih atas kinerja bapak TNI POLRI semoga #wadaskondusif,0,0,0,0,,in,1492717043883208706,1493490279055196200,1493490279055196160,,
Tue Feb 15 07:43:27 +0000 2022,15/02/2022 07:43:27,1493491129148649500,1493491129148649472,Polrestapteng,"Puslitbang Polri (Pusat Penelitian dan Pengembangan Polri) melaksanakan Penelitian tentang Tingkat Kepercayaan Masyarakat Terhadap Kinerja Polri"" dan ""Survei Indek Kamtibmas T.A. 2022 di wilayah Polres Tapanuli Tengah dan jajarannya pada hari Selasa (15/02/2022) https://t.co/e8r4aHFIgR""",0,0,0,0,,in,153285191,1493491129148649500,1493491129148649472,https://pbs.twimg.com/media/FLnyQzVaUAIjTaP.jpg,photo
Tue Feb 15 08:06:25 +0000 2022,15/02/2022 08:06:25,1493496909696479200,1493496909696479233,Karebet65867403,"@reskrimsusjtg Bapak kapolri bangga dengan kinerja polri saat ini, kerja tanpa lelah dan tanpa pamrih....\n#wadaskondusif",0,0,0,0,,in,1492769819900653570,1492697651829436400,1492697651829436416,,
Tue Feb 15 08:08:15 +0000 2022,15/02/2022 08:08:15,1493497369542860800,1493497369542860801,S440daraR,Terimakasih atas kinerja nya TNI POLRI #wadaskondusif,0,0,0,0,,in,1492717043883208706,1493497231365660700,1493497231365660673,,
Tue Feb 15 08:30:10 +0000 2022,15/02/2022 08:30:10,1493502886768091100,1493502886768091137,dregd_budi,@reskrimsusjtg Terimakasih TNI Polri atas kinerja Serta peduli warga,0,2,1,1,,in,1493501529248395270,1492697651829436400,1492697651829436416,,
Tue Feb 15 08:33:27 +0000 2022,15/02/2022 08:33:27,1493503713813856300,1493503713813856260,Beo_Bengkulu,"Tertinggi Nilai Kinerja Polri, Kapolda Sumut Komit Tingkatkan Pelayanan Publik https://t.co/Ynnp2XHSIX via @BEO",0,0,0,0,,in,1457460560597962753,1493503713813856300,1493503713813856260,,
Tue Feb 15 09:03:45 +0000 2022,15/02/2022 09:03:45,1493511335937597400,1493511335937597441,setangbl,"@geloraco HOAX TERBAJINGAN ADALAH PEMERINTAH ITU SENDIRI POLRI"" SUDAH TIDAK ADA BAIK NYA KINERJA POLRI DI MATA MASYARAKAT, MEREKA KERJA HANYA UNTUK PENGUASA YG SERAKAH""",0,0,0,1,,in,1188398913176236032,1493242681224568800,1493242681224568834,,
Tue Feb 15 14:11:12 +0000 2022,15/02/2022 14:11:12,1493588710516228000,1493588710516228099,sidaknews,Tim Puslitbang Polri Lakukan Penelitian Tingkat Kepercayaan Masyarakat Terhadap Kinerja Polri di Polres Bintan https://t.co/R5D7RFeVsr lewat @Prioritas.co.id,0,0,0,0,,in,1480234626,1493588710516228000,1493588710516228099,,
Wed Feb 16 03:30:54 +0000 2022,16/02/2022 03:30:54,1493789960977395700,1493789960977395712,ErshaJihaan,Bangga dengan kinerja polri yang selalu totalitas kpda masyarakat\n#MelayaniDalamPengabdian\nMengayomi Jaga Kamtibmas https://t.co/la7b73p9VH,0,0,0,0,,in,2220869046,1493789960977395700,1493789960977395712,https://pbs.twimg.com/media/FLsB8Y4aMAEwQm8.jpg,photo
Wed Feb 16 03:47:10 +0000 2022,16/02/2022 03:47:10,1493794052915228700,1493794052915228679,BenciKoruptor7,Kinerja Polri patut diapresiasi\nNusantara Miniatur Indonesia https://t.co/gemzbkezkx,0,1,0,0,,in,1382912094157230081,1493794052915228700,1493794052915228679,https://pbs.twimg.com/media/FLsFxg9akAIO4rB.jpg,photo
Wed Feb 16 04:29:56 +0000 2022,16/02/2022 04:29:56,1493804815721238500,1493804815721238530,batamtoday,Puslitbang Polri Teliti Tingkat Kepercayaan Masyarakat terhadap Kinerja Polres Bintan https://t.co/iZGaYiuuxK,0,0,0,0,,in,224204467,1493804815721238500,1493804815721238530,,
Wed Feb 16 04:54:58 +0000 2022,16/02/2022 04:54:58,1493811118250156000,1493811118250156034,MasWijaya97,@grobogan_polres Mantap buat kinerja Polri dalam melayani masyarakat\n1 #MelayaniDalamPengabdian,0,0,0,0,,in,1259339059047985154,1493799067377307600,1493799067377307655,,
Wed Feb 16 05:45:47 +0000 2022,16/02/2022 05:45:47,1493823903005036500,1493823903005036544,Zombie_9Q,"@democrazymedia @pakaipeci Petinggi POLRI &amp; petinggi PARTAI nya saja seperti ini maka, secara otomatis semua anak buah dibawa MANUT bae! Lalu kalau sudah seperti ini kepercayaan seperti apa lagi yang bisa diharapkan dari POLRI?! \n\nSampai sekarang 98% kinerja POLRI semuanya omong kosong!!!",0,0,0,4,,in,1055686578947801088,1493560724492333000,1493560724492333056,,
Wed Feb 16 06:18:27 +0000 2022,16/02/2022 06:18:27,1493832125254365200,1493832125254365185,Ary12_10,"jgn heran dg kinerja polkis Wakanda,,,klo yg diserang ada bau² islam mereka sengaja"" ulur dg berbagai alasan,,,\nuntung bukan di Indonesia,,,iya gak @DivHumas_Polri,,,?!""",0,0,1,0,,in,113890676,1493832125254365200,1493832125254365185,,
Wed Feb 16 09:10:15 +0000 2022,16/02/2022 09:10:15,1493875358567137300,1493875358567137281,Pr1nceOfWolves,"Kinerja Densus 88 Antireror Polri ini, telah berdampak pada penurunan indeks risiko pelaku terorisme &amp; memberikan Multiplier Effect untuk Bangsa Indonesia\n\nKerja keras Densus 88 berdampak pada meningkatnya stabilitas keamanan dan ketertiban masyarakat https://t.co/77SmxlpdZu",0,2,22,28,,in,1392977109929402371,1493871901403660300,1493871901403660291,https://pbs.twimg.com/media/FLtPuHgaIAIY2sE.jpg,photo
Wed Feb 16 10:18:09 +0000 2022,16/02/2022 10:18:09,1493892447889358800,1493892447889358848,Baratcom2,@polres_madiun Mantap buat kinerja Polri melayani masyarakat\n #MelayaniDalamPengabdian\n10,0,0,0,0,,in,1454401165806866440,1493810615806492700,1493810615806492673,,
Wed Feb 16 11:12:32 +0000 2022,16/02/2022 11:12:32,1493906134767267800,1493906134767267842,GoSumutdotcom,"Raih Rating Tertinggi Kinerja Polri, Kapolda Sumut : Kita Terus Berkomitmen Tingkatkan Pelayanan Masyarakat https://t.co/jBG6SB1PbS",0,0,0,0,,in,3700681692,1493906134767267800,1493906134767267842,,
Wed Feb 16 11:39:49 +0000 2022,16/02/2022 11:39:49,1493912998687436800,1493912998687436800,koniyarkoni,"Kinerja Lembaga Pemerintah (Polri, Kejaksaan RI, &amp; KPK) Semakin Efektif, Berani dan Profesional Dalam Memberantas Korupsi Bersatu Nusantara Kuat https://t.co/4N0AnfiQGx",0,0,0,0,,in,1395652139041521667,1493912998687436800,1493912998687436800,https://pbs.twimg.com/media/FLtx8XdagAQ8Dwe.jpg,photo
Wed Feb 16 12:53:51 +0000 2022,16/02/2022 12:53:51,1493931633376133000,1493931633376133121,pawangpolitik,"@HusinShihab @DivHumas_Polri @CCICPolri jaman SBY rakyat pada akur ya :) jaman sekarang saling cap nama nama hewan : kadal gurun, onta yaman, kebo cikeas, sapi, cebong, kampret, kuda dll. \nJaman sby rakyat kritis sama kinerja pemerintahan, sekarang pada saling hujat.",0,2,0,2,,in,1028703104856809473,1493831750627508200,1493831750627508228,,
Wed Feb 16 13:16:53 +0000 2022,16/02/2022 13:16:53,1493937426192031700,1493937426192031750,PRESMEDIA_id,Puslitbang Polri Survey Kepercayaan Masyarakat Terhadap Kinerja Polres Tanjungpinang https://t.co/QLBdLJZV24,0,0,0,0,,in,1137663584320647168,1493937426192031700,1493937426192031750,,
Wed Feb 16 13:16:54 +0000 2022,16/02/2022 13:16:54,1493937432139636700,1493937432139636739,kepriinfo,Puslitbang Polri Survey Kepercayaan Masyarakat Terhadap Kinerja Polres Tanjungpinang https://t.co/LQn4n8E181,0,0,0,0,,in,249138010,1493937432139636700,1493937432139636739,,
Thu Feb 17 02:16:06 +0000 2022,17/02/2022 02:16:06,1494133524135575600,1494133524135575556,monitorindo,"Tingkatkan Kinerja dalam Penanganan Terorisme, Densus 88 Antiteror Kaji Penambahan Personel https://t.co/YeoHSNjNG4 #Densus88Antiteror #DensusTambahPersonel #PenangananTerorisme #Polri #JenderalListyoSigitPrabowo",0,0,0,0,,in,282563920,1494133524135575600,1494133524135575556,,
