created_at;id;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;geo;lang;user_id_str;conversation_id;conversation_id_str;media_url_https;media_type;username
Thu Sep 29 16:39:26 +0000 2022;1575525670213800000;1575525670213799936;"@siapkawalpolri Memang sudah terlihat, semenjak kasus FS ini solidaritas @DivHumas_Polri semakin menguat. Bahkan oknum yang berada didalam tubuh sudah dibersihkan. Ini pertanda bahwa kinerja kapolri @ListyoSigitP totalitas dengan kembali meningkatnya nama @DivHumas_Polri dimata masyarakat, hebat";0;0;0;0;;in;1558407697531572225;1575392321100972000;1575392321100972033;"";"";qonleh_
Thu Sep 29 16:34:24 +0000 2022;1575524406301905000;1575524406301904899;"@siapkawalpolri @ListyoSigitP Tegas, cepat, dan tepat kinerja polri dibawah kepemimpinan pak @ListyoSigitP . Yaps walaupun punya fokus tersendiri untuk memberantas perjudian. Tp ini perlu diapresiasi. Semoga perjudian sedikit demi sedikit hilang ya pak";0;0;0;0;;in;1552202290081431552;1575055550345547800;1575055550345547777;"";"";imelani12z
Thu Sep 29 16:41:25 +0000 2022;1575526168228266000;1575526168228265991;"@siapkawalpolri Harus diapresiasi nih kinerja pak Kapolri @ListyoSigitP  beliau sudah sangat baik dalam menuntaskan kasus FS ini secara adil dan transparan.  polrituntaskankasusfs @DivHumas_Polri";0;0;0;0;;in;1564270133614624770;1575426952462504000;1575426952462503938;"";"";Humaira_Indah3
Thu Sep 29 15:33:20 +0000 2022;1575509034848993300;1575509034848993281;"Berkas Perkara Ferdy Sambo Cs Lengkap, Kinerja Polri Diapresiasi https://t.co/3Q2BP6VXPF";0;0;0;0;;in;1349423671035613184;1575509034848993300;1575509034848993281;"";"";kabaratta
Thu Sep 29 14:59:00 +0000 2022;1575500397678309400;1575500397678309378;"@siapkawalpolri harusnya pantas untuk mendapatkan apresiasi untuk kinerja polri dibawah pimpinan @ListyoSigitP  dalam kesuksesan dan ketegasan menyelesaikan kasus ini.kasus yang ditangani dengan adil dan transparan sesuai perintah presiden";0;0;0;0;;in;4757715690;1575426952462504000;1575426952462503938;"";"";dahlahgatw
Thu Sep 29 15:18:16 +0000 2022;1575505245580435500;1575505245580435456;"Berkas Perkara Ferdy Sambo Cs Lengkap, Kinerja Polri Diapresiasi https://t.co/WNjxo9AIkc";0;0;0;0;;in;1195690853227880448;1575505245580435500;1575505245580435456;"";"";FirmRei
Thu Sep 29 14:56:22 +0000 2022;1575499735351586800;1575499735351586821;"@siapkawalpolri Setuju, @DivHumas_Polri sudah sangat objektif dalam menyelesaikan kasus ini, brkat kinerja pak @ListyoSigitP yg tegas terhadap jajarannya untuk menyelesaikan kasus ini. Mantap\n#siapkawalpolri\n#polrituntaskankasusfs\n#tegastegaklurus";0;0;0;0;;in;1547161155151417344;1575005633258360800;1575005633258360832;"";"";Joniansyah_13
Thu Sep 29 14:37:48 +0000 2022;1575495060136730600;1575495060136730624;"@siapkawalpolri Solid itu perlu, jika ingin Marwah Polri kembali di mata masyarakat. Kinerja lak Kapolri @ListyoSigitP terbaik dan membuktikan bahwa jika ada anggota Polri yang menyeleweng akan di tindak tegas. Maka dari itu yuk komitmen dan solid. Kami siapkawalpolri";0;0;0;0;;in;1563400943369981952;1575392321100972000;1575392321100972033;"";"";selinanawa
Thu Sep 29 14:56:34 +0000 2022;1575499781874811000;1575499781874810882;"@siapkawalpolri pertahankan kekompakan dan solidaritas nya kedepannya untuk mengungkap tersangka untuk membuktikan bahwa kinerja @KejaksaanRI kompak.ini adalah langkah yang tepat untuk mengembalikan citra polri untuk mendapatkan kepercayaan masyarakat";0;0;0;0;;in;4757715690;1575392321100972000;1575392321100972033;"";"";dahlahgatw
Thu Sep 29 14:56:12 +0000 2022;1575499693622456300;1575499693622456321;"Berkas Perkara Ferdy Sambo Cs Berstatus P-21, Ini Kata Mahfud MD Atas Kinerja Polri dan Kejagung https://t.co/wbsNZaQ8Cw https://t.co/DX6Hx3Zy99";0;0;0;0;;in;834850333184622593;1575499693622456300;1575499693622456321;"https://pbs.twimg.com/media/Fd1Mn0zaMAEqHSt.jpg";"photo";untungsijorike1
Thu Sep 29 15:58:35 +0000 2022;1575515392218275800;1575515392218275840;"@siapkawalpolri Saya percaya dengan kinerja pak Kapolri @ListyoSigitP beliau dan jajarannya pasti bisa menuntaskan kasus ini, seperti yg diharapkan masyarakat hukuman mati memang sangat adil bagi pelaku pembunuhan, ditambah kesalahan tersangka ini sudah berlapis-lapis @DivHumas_Polri";0;0;0;0;;in;1564270133614624770;1575005633258360800;1575005633258360832;"";"";Humaira_Indah3
Thu Sep 29 15:13:41 +0000 2022;1575504092495249400;1575504092495249408;"@siapkawalpolri salut bangett dengan kinerja polri yang dipimpin pak @ListyoSigitP patut diapresiasi karena menyelesaikan kasus yang tidak mudah dan melibatkan banyak oknum” nakal. bravo pak @ListyoSigitP";0;0;0;0;;in;1560276880863166466;1575426952462504000;1575426952462503938;"";"";sriayutania
Thu Sep 29 15:18:38 +0000 2022;1575505338564067300;1575505338564067328;"Berkas Perkara Ferdy Sambo Cs Lengkap, Kinerja Polri Diapresiasi https://t.co/5TFYmRfNdG";0;0;0;0;;in;1521523308214190081;1575505338564067300;1575505338564067328;"";"";posbakumpranaja
Thu Sep 29 14:56:13 +0000 2022;1575499694612316200;1575499694612316161;"Berkas Perkara Ferdy Sambo Cs Berstatus P-21, Ini Kata Mahfud MD Atas Kinerja Polri dan Kejagung https://t.co/JQ1AgtfYwp https://t.co/tPGao0TXgS";0;0;0;0;;in;3864960864;1575499694612316200;1575499694612316161;"https://pbs.twimg.com/media/Fd1Mn2ZagAEHhzU.jpg";"photo";DediSijorikepri
Thu Sep 29 16:10:54 +0000 2022;1575518490760720400;1575518490760720384;"@siapkawalpolri Keren kinerja dari polri yg dipimpin oleh pak @ListyoSigitP karena mengungkap kasus ini dgn transparan agar masyarakat tau perkembangnya sampe mana. Semoga masyarakat bisa dukung penuh polri agar semangat dan cepat untuk menuntaskan kasus ini";0;0;0;0;;in;1528947804109803521;1575426952462504000;1575426952462503938;"";"";Apissm14
Thu Sep 29 14:56:13 +0000 2022;1575499694155133000;1575499694155132928;"Berkas Perkara Ferdy Sambo Cs Berstatus P-21, Ini Kata Mahfud MD Atas Kinerja Polri dan Kejagung https://t.co/NAcG1N3XXu https://t.co/50icqLhLqM";0;0;0;0;;in;70725529;1575499694155133000;1575499694155132928;"https://pbs.twimg.com/media/Fd1Mn3PakAUI0ZH.jpg";"photo";RusmadiSijori
Thu Sep 29 15:18:47 +0000 2022;1575505376098803700;1575505376098803714;"Berkas Perkara Ferdy Sambo Cs Lengkap, Kinerja Polri Diapresiasi https://t.co/FKfxdSbylp";0;0;0;0;;in;1349423671035613184;1575505376098803700;1575505376098803714;"";"";kabaratta
Thu Sep 29 15:33:45 +0000 2022;1575509139861958700;1575509139861958656;"@siapkawalpolri Yap! Dari awal sampai sejauh ini Polri sudah memberikan kinerja yang maksimal dan profesional. Sudah sangat pantas jika hukuman itu diberikan. Maju terus @ListyoSigitP";0;0;0;0;;in;1251479716466323456;1575005633258360800;1575005633258360832;"";"";Saleema06444910
Thu Sep 29 15:17:33 +0000 2022;1575505065216876500;1575505065216876548;"@siapkawalpolri Ya benar seperti yang kita lihat kinerja dari POLRI sangatlah tepat dan akurat dan juga sudah membuka secara transparan dalam kasus ini @ListyoSigitP";0;0;0;0;;in;1550370474252677120;1575005633258360800;1575005633258360832;"";"";putrasiregar46
Thu Sep 29 15:32:49 +0000 2022;1575508905157066800;1575508905157066754;"@siapkawalpolri Setuju si karna ini epic moment untuk polri untuk menunjukan kinerja yang baik dan profesionalnya, serta untuk memperbaiki citranya di mata masyrakat @DivHumas_Polri \n#Polrimakinbaik \n#tegastegaklurus";0;0;0;0;;in;1546557715136528384;1575392321100972000;1575392321100972033;"";"";zha_mubarak
Thu Sep 29 16:22:55 +0000 2022;1575521516418404400;1575521516418404359;"@DivHumas_Polri Trimakasih Bapak DivHum polri atas kinerja nya.saya sebagai rakyat turut men Doa'kan agar institusi polri kembali tegak dan tegas.trimakasih untuk seluruh jajaran  kepolisian RI yg tanpa lelah menjaga masyarakat dalam situasi apapun🙏";0;0;0;0;;in;1573266647707971591;1575406501413671000;1575406501413670912;"";"";FAYM86511246
Thu Sep 29 15:58:34 +0000 2022;1575515387101253600;1575515387101253632;"@siapkawalpolri Sangat patut diapresiasi kinerja polri, ke depannya polri harus tetap konsistensi dalam kinerja nya dan tetap tegas dalam mengusut semua kasus tanpa pandang bulu. Maju terus polri @ListyoSigitP";0;0;0;0;;in;1558846554466791428;1575426952462504000;1575426952462503938;"";"";lestari_cheryl
Thu Sep 29 16:27:56 +0000 2022;1575522778396364800;1575522778396364803;"@siapkawalpolri Emang kudu ditaati sih perintahnya. Kalo menentang, bisa² @ListyoSigitP yg dipecat. Emang serba salah sih. Tapi sejauh ini patut diapresiasi hasil kinerja dalam upaya menyelesaikan kasus FS ini @DivHumas_Polri";0;0;0;0;;in;1521961292449280000;1575426952462504000;1575426952462503938;"";"";RahmaAdelia311
Thu Sep 29 11:19:16 +0000 2022;1575445097126035500;1575445097126035456;"@siapkawalpolri Ayo tunjukan kinerja polri.. jangan biarkan sambo lepas karena sudah sangat parah kejahatannya tidak bisa diampuni @ListyoSigitP gasken pak";0;0;0;0;;in;1337858112884097024;1575005633258360800;1575005633258360832;"";"";udhgituaja24
Thu Sep 29 13:43:57 +0000 2022;1575481509699784700;1575481509699784704;"Pandawa Nusantara apresiasi kinerja Timsus Polri\n\nJakarta (ANTARA) - Sekretaris Jenderal Pandawa Nusantara, Faisal Anwar mengapresiasi kinerja Tim Khusus Polri dalam menuntaskan kasus pembunuhan ⁦BrigadirJ \n\n⁦@DivHumas_Polri⁩ ⁦@antaranews⁩  https://t.co/DtmMr5ztna";0;0;0;0;;in;1430412451934208003;1575481509699784700;1575481509699784704;"";"";PandawaNusa21
Thu Sep 29 14:15:36 +0000 2022;1575489472971837400;1575489472971837441;"@siapkawalpolri Patut di acungi jempol buat kinerja Kapolri selama menangani kasus Sambo, tidak salah menunjuk pak @ListyoSigitP sebagai pemimpin polri.";0;0;0;0;;in;1546662489026629633;1575005633258360800;1575005633258360832;"";"";EnggiWijaya005
Thu Sep 29 12:33:54 +0000 2022;1575463879458844700;1575463879458844672;"@siapkawalpolri Sangat kompak, kinerja Polri dbwah pimpinan pak @ListyoSigitP sangat memegang komitmen untuk menuntaskan kasus Sambo. Publik selalu siapkawalpolri untuk mengadili Sambo dan segera cepat si Sambo ini mendapatkan putusan hukuman.";0;0;0;0;;in;1549667847877857280;1575392321100972000;1575392321100972033;"";"";Izmy_11
Thu Sep 29 14:06:42 +0000 2022;1575487233163133000;1575487233163132930;"@siapkawalpolri Setuju banget, kinerja @ListyoSigitP  @DivHumas_Polri  harulah mendapatkan apresiasi setinggi tingginya, mereka berani menindak orang orang yang terlihat kasus pak Sambo ini tanpa pandang bulu, berusaha memberikan yang terbaik, tegas dan berkomitmen tinggi";0;0;0;0;;in;1564767652337549312;1575426952462504000;1575426952462503938;"";"";MiahMuktar1
Thu Sep 29 11:20:52 +0000 2022;1575445501276655600;1575445501276655617;"@siapkawalpolri Kinerja dan upaya yang dilakukan kapolri sangat baik.. pertahankan pak @ListyoSigitP tetap tegas dan jangan pandang bulu mau siapapun itu, sepenting apapun jabatannya di polri kalau sudah melakukan kejahatan itu harus dihukum.";0;0;0;0;;in;1337858112884097024;1574986079790583800;1574986079790583808;"";"";udhgituaja24
Thu Sep 29 14:02:04 +0000 2022;1575486067922604000;1575486067922604032;"@siapkawalpolri Sekarang ini kita sudah bisa melihat kok kinerja @ListyoSigitP &amp; @DivHumas_Polri  dalam menangani kasus pak sambo ini, gimana mereka tegas, transparan dan menunjukan sikap tanpa pandang bulunya, semoga semua anggota polri bisa tetap solid dalam menjalankan komitmennya selama ini";0;0;0;0;;in;1564767652337549312;1575392321100972000;1575392321100972033;"";"";MiahMuktar1
Thu Sep 29 12:42:35 +0000 2022;1575466064850583600;1575466064850583552;"@siapkawalpolri Mantab pak @ListyoSigitP baguslah dia tidak bisa drama lagi. Kinerja polri sangat baik karena tegas dan tidak pandang bulu dalam menangani kasus ini. Semoga kedepannya bisa konsistensi dan masyarakat kembali percaya pada polri";0;0;0;0;;in;1558846554466791428;1574986079790583800;1574986079790583808;"";"";lestari_cheryl
Thu Sep 29 12:16:20 +0000 2022;1575459458054226000;1575459458054225920;"Berkas Kasus Sambo Dinyatakan P21, Habib Nabil Apresiasi Kinerja Polri Ungkap Kasus Duren Tiga https://t.co/UiZ8mJWJIr https://t.co/6hJKjwToz5";0;0;0;0;;in;833371246280597504;1575459458054226000;1575459458054225920;"https://pbs.twimg.com/media/Fd0oB0aaMAA29F4.jpg";"photo";wargata_com
Thu Sep 29 14:35:30 +0000 2022;1575494484229386200;1575494484229386240;"@siapkawalpolri Harus banget di apresiasikan atas kinerja yang di lakukan @ListyoSigitP dan jajaran polri yang bertugas, upaya untuk mengusut tuntas sasus pembunuhan berencana yang di lakukan oleh FS dan kawan2nya sangat luarbiasa, tetap konsisten dalam menangani tuntas kasus ini.";0;0;0;0;;in;1549689850512560128;1575426952462504000;1575426952462503938;"";"";Meylinee98
Thu Sep 29 11:10:27 +0000 2022;1575442878054080500;1575442878054080513;"@Dharma_tc Kenapa banyak sekali masyarakat yang mengeluh dengan kinerja POLRI? Semakin hari semakin rendah kepercayaan masyarakat sehingga lebih memilih mengadu lewat medsos daripada ke kantor polisi. Pak Presiden, jangan-jangan POLRI sedang gawat darurat. KAPOLRI dimana?";0;0;0;0;;in;1413761782238253062;1575373868050821000;1575373868050821120;"";"";AryaAsya4
Thu Sep 29 11:42:24 +0000 2022;1575450920409698300;1575450920409698304;"@siapkawalpolri Saya akui dengan tegas bahwa kinerja kepolisian Republik Indonesia sangat terlihat solid dan berkompeten. Terlihat dari gaya kepemimpinan pak @ListyoSigitP yang selalu memberikan arahan kepada seluruh jajarannya sehingga polri mampu menjalankan tugasnya dengan baik.";0;0;0;0;;in;1328542128561999872;1575392321100972000;1575392321100972033;"";"";MaulanaFajriM1
Thu Sep 29 14:24:42 +0000 2022;1575491764529791000;1575491764529790978;"@siapkawalpolri Layak banget lah, harus kita apresiasi kinerja ka polri di bawah pimpinan pak @ListyoSigitP ini. Sudah cukup baik sejauh ini dalam memimpin polri";0;0;0;0;;in;1546662489026629633;1575426952462504000;1575426952462503938;"";"";EnggiWijaya005
Thu Sep 29 11:43:11 +0000 2022;1575451116589891600;1575451116589891584;"@RadioElshinta Coba pak jokowi iseng gtu ya tiba2 story survei gtu di ig, tanpa bilg siapa2 langsung post aja.\nSurvei kepuasan kinerja polri.\nPanik sih, pada nyari buzzer.";0;0;0;1;;in;1203406249674473472;1575103553839894500;1575103553839894528;"";"";mhdibnsn
Thu Sep 29 13:57:55 +0000 2022;1575485022966255600;1575485022966255617;"@siapkawalpolri apresiasi sebesar besarnya untuk kinerja dari polri dalam kesuksesan dan ketegasan dalam menyelesaikan kasus pembunuhan brigadir j sampai akhirnya sekarang udah p21. semoga bersih2 polri terus berjalan kedepannya @ListyoSigitP";0;0;0;0;;in;1387515023262580736;1575426952462504000;1575426952462503938;"";"";chucknoun
Thu Sep 29 13:44:57 +0000 2022;1575481761769099300;1575481761769099268;"@siapkawalpolri Sangat layak mendapatkan apresiasi atas kinerja pak kapolri kita @ListyoSigitP dan jajaran @DivHumas_Polri . Dlm penanganan kasus Sambo sangat tegas,tak pandang bulu dan transparansi ke publik. Semangat untuk Polrimakinbaik";0;0;0;0;;in;1549667847877857280;1575426952462504000;1575426952462503938;"";"";Izmy_11
Thu Sep 29 14:15:30 +0000 2022;1575489447617269800;1575489447617269760;"IPW mengapresiasi kinerja timsus bentukan Kapolri yang berhasi mengusut tuntas Perkara pembunuhan Brigadir J\n\n#P21SamboCS\nBukti Komitmen Polri https://t.co/0mbetCGfhR";0;0;0;0;;in;1548517302944968704;1575489447617269800;1575489447617269760;"https://pbs.twimg.com/media/Fd1DTI-VUAUE2oq.jpg";"photo";ayoayo2519
Thu Sep 29 14:31:36 +0000 2022;1575493502712316000;1575493502712315906;"@siapkawalpolri salut apresiasi yg sangat untuk kinerja polri. tetap terus dalam kinerja seperti ini pak @ListyoSigitP demi kembalinya citra polri ditengah masyarakat";0;0;0;0;;in;1559416092048891904;1575426952462504000;1575426952462503938;"";"";elsa_nandaa
Thu Sep 29 13:53:54 +0000 2022;1575484011476295700;1575484011476295682;"Faisal Anwar, pandawa nusantara, apresiasi kinerja Tim Khusus Polri dalam menuntaskan kasus pembunuhan Brigadir Nofriansyah Yoshua atau Brigadir J.\n\nhttps://t.co/IAf3h1ld5m";0;0;0;3;;in;18071520;1575484011476295700;1575484011476295682;"";"";antaranews
Thu Sep 29 13:07:41 +0000 2022;1575472383434948600;1575472383434948608;"@siapkawalpolri Saya sangat setuju dengan kinerja Kepolisian. Kinerja @DivHumas_Polri terbukti terbayar tuntas dengan bisa mengunci pergerakan FS dari segala sisi. Sangat apresiasi sikap pantang menyerah dari @ListyoSigitP yg tidak kenal lelah mengawal kasus ini. Mantapp";0;0;0;0;;in;540957464;1574986079790583800;1574986079790583808;"";"";dhimaass_
Thu Sep 29 09:37:33 +0000 2022;1575419501570625500;1575419501570625536;"Berkas Kasus Sambo Cs P21, Habib Nabil Apresiasi Kinerja Polri Ungkap Kasus Duren Tiga https://t.co/iMoQjFPMfR";0;0;0;0;;in;2811300588;1575419501570625500;1575419501570625536;"";"";indowarta1
Thu Sep 29 08:37:30 +0000 2022;1575404390487564300;1575404390487564288;"Tim ini sangat berguna, agar kinerja @DivHumas_Polri lebih efektif. Semoga oknum-oknum yang terlibat bisa segera diungkap dan dihukum. Ayo segera bangkit polri!\n#Tegastegaklurus\n#Siapkawalpolri\n#Polrimakinbaik\n#Kapolriberantasmafia\nhttps://t.co/veJ0oK7yfb";0;0;0;0;;in;1090601597657174016;1575404390487564300;1575404390487564288;"";"";rifqiazizian
Thu Sep 29 09:37:31 +0000 2022;1575419492720574500;1575419492720574464;"Berkas Kasus Sambo Cs P21, Habib Nabil Apresiasi Kinerja Polri Ungkap Kasus Duren Tiga https://t.co/fSnZ7PVqao";0;0;0;0;;in;916280604;1575419492720574500;1575419492720574464;"";"";TribunRakyat
Thu Sep 29 10:58:55 +0000 2022;1575439977516712000;1575439977516711937;"Pelaksanaan Audit Kinerja Tahap II T.A. 2022 Aspek Laks dan Dal Satlantas Polres Probolinggo oleh Tim I Itwasda Polda Jatim\n#polripresisi \n#polriuntukindonesia \n@ListyoSigitP \n@DivHumas_Polri\n@NTMCLantasPolri \n@RTMCJatim \n@HumasPoldaJatim https://t.co/TO8iu8eCMV";0;0;0;0;;in;149361252;1575439977516712000;1575439977516711937;"https://pbs.twimg.com/media/Fd0WT1wVIAA3hfy.jpg";"photo";LantasProb
Thu Sep 29 06:36:13 +0000 2022;1575373868050821000;1575373868050821120;"*TOLONG VIRALKAN*\n\n*Kejadian di Vihara Tien En Tang Green Garden*\nSekelomlok *PREMAN* melakukan *PENGANIAYAN* pada seorang  Wanita, dan *Mengambil SECARA PAKSA  VIHARA* serta *MERAMPAS ASET MOBIL, MOTOR dan RATUSAN JUTA UANG UMAT YANG BERADA DALAM VIHARA* https://t.co/i9ywKlrXO2";187;302;1714;2581;;in;1260061504767836162;1575373868050821000;1575373868050821120;"https://pbs.twimg.com/ext_tw_video_thumb/1575373580858433537/pu/img/DAs-8dQrECwpfHMz.jpg";"photo";Dharma_tc
Thu Sep 29 10:34:39 +0000 2022;1575433871213985800;1575433871213985792;"Berkas Ferdy Sambo P21, Ferdinand Hutahaean Apresiasi Kinerja Polri https://t.co/gMbkypZEtP";0;0;0;0;;in;1369734116191608833;1575433871213985800;1575433871213985792;"";"";KuretaID
Thu Sep 29 08:59:34 +0000 2022;1575409943368564700;1575409943368564736;"IPW mengapresiasi kinerja timsus bentukan Kapolri yang berhasi mengusut tuntas Perkara pembunuhan Brigadir J\n\n#P21SamboCS\nBukti Komitmen Polri https://t.co/BOgYU4QGyH";0;0;0;0;;in;1572801315419594752;1575409943368564700;1575409943368564736;"https://pbs.twimg.com/media/Fdz6-yBaAAACn5y.jpg";"photo";Agung_hapsah72
