new_date,clean_tweet,stemmed_tweet,sentiment
04/02/2022 11:43:07,bila ingin masyarakat percaya pada kinerja polisi jangan tebang pilih hukum adil jangan biarkan kamu intoleran dan radikalisme bebas kpn di tangkap pak sigit,"['bila', 'masyarakat', 'percaya', 'kerja', 'polisi', 'tebang', 'pilih', 'hukum', 'adil', 'biar', 'intoleran', 'radikalisme', 'bebas', 'kpn', 'tangkap', 'pak', 'sigit']",negatif
06/02/2022 02:21:02,masyarakat indonesia wajib berperan aktif membantu kinerja kpk polri dan kejaksaan agung termasuk presiden jokowi mengawasi penggunaan dana jelang pilpres pilpres,"['masyarakat', 'indonesia', 'wajib', 'peran', 'aktif', 'bantu', 'kerja', 'kpk', 'polisi republik indonesia', 'jaksa', 'agung', 'masuk', 'presiden', 'jokowi', 'awas', 'guna', 'dana', 'jelang', 'pilpres', 'pilpres']",positif
06/02/2022 20:44:26,heran deh dgn kinerja polisi,"['heran', 'deh', 'kerja', 'polisi']",negatif
07/02/2022 03:39:09,komitmen kapolri untuk memperbaiki citra dan kinerja polri dengan konsep polri presisi yaitu prediktif responsibilitas transparansi dan berkeadilan mentransformasikan polri menjadi lembaga yang modern kredibel melayani dan responsif terhadap perkembangan,"['komitmen', 'kapolri', 'baik', 'citra', 'kerja', 'polisi republik indonesia', 'konsep', 'polisi republik indonesia', 'presisi', 'prediktif', 'responsibilitas', 'transparansi', 'adil', 'transformasi', 'polisi republik indonesia', 'jadi', 'lembaga', 'modern', 'kredibel', 'layan', 'responsif', 'kembang']",positif
07/02/2022 04:20:19,kinerja polri semakin meningkat ayo perketat prokes,"['kerja', 'polisi republik indonesia', 'makin', 'tingkat', 'ayo', 'ketat', 'prokes']",positif
07/02/2022 05:41:50,ini merupakan bentuk reward terhadap anggota polri yang telah dengan baik dalam melaksanakan setiap tugas pokoknya sehingga mendapatkan hasil yang maksimal diharapkan dengan diberikannya penghargaan ini dapat meningkatkan kinerja anggota polres metro bekasi kota,"['rupa', 'bentuk', 'reward', 'anggota', 'polisi republik indonesia', 'baik', 'laksana', 'tugas', 'pokok', 'dapat', 'maksimal', 'harap', 'beri', 'harga', 'tingkat', 'kerja', 'anggota', 'polisi republik indonesia', 'metro', 'bekas', 'kota']",positif
07/02/2022 10:38:39,gregetttt banget sama kinerja lelet,"['geram', 'banget', 'sama', 'kerja', 'lelet']",negatif
08/02/2022 00:56:24,kinerja polisi preketek,"['kerja', 'polisi', 'preketek']",negatif
08/02/2022 10:56:32,irjen fadil selamat hari pers kawan kawan jangan bosan kritik kinerja polri,"['irjen', 'fadil', 'selamat', 'hari', 'pers', 'kawan', 'kawan', 'bosan', 'kritik', 'kerja', 'polisi republik indonesia']",negatif
08/02/2022 12:45:53,makin ga percaya dg kinerja kalian asli,"['makin', 'percaya', 'kerja', 'kalian', 'asli']",negatif
08/02/2022 22:49:06,pak ini anak buahmu pak baca atuh koment netizen indo yg war biasah biar kinerja semakin bener,"['pak', 'anak', 'buah', 'pak', 'baca', 'atuh', 'koment', 'netizen', 'indo', 'war', 'biasah', 'kerja', 'makin', 'bener']",negatif
09/02/2022 04:45:20,terimakasih sobat polri atas apresiasinya kami akan terus meningkatkan kinerja kami dalam memberikan perlindungan pengayoman dan pelayanan kepada masyarakat,"['terimakasih', 'sobat', 'polisi republik indonesia', 'apresiasi', 'terus', 'tingkat', 'kerja', 'beri', 'lindung', 'ayom', 'layan', 'masyarakat']",positif
09/02/2022 04:59:07,warga wadas bantah pernyataan polisi bukan menerima kunjungan tapi kami diserbu,"['warga', 'wadas', 'bantah', 'nyata', 'polisi', 'bukan', 'terima', 'kunjung', 'serbu']",negatif
09/02/2022 07:46:56,nah kan yg kalah ajah merapat dan mendukung kinerja yg menang masa pemilihnya gak mau dukung program pilihannya,"['nah', 'kan', 'kalah', 'ajah', 'rapat', 'dukung', 'kerja', 'menang', 'masa', 'pilih', 'mau', 'dukung', 'program', 'pilih']",negatif
09/02/2022 15:48:39,astagah sesuai dengan narasumber ini disini juga kinerja polri semakin marsamburetan dan tidak profesional semoga tidak terulang lagi yg dampaknya dapat mencoreng institusi polri kedepan nya nanti,"['astagah', 'sesuai', 'narasumber', 'sini', 'kerja', 'polisi republik indonesia', 'makin', 'marsamburetan', 'profesional', 'moga', 'ulang', 'dampak', 'coreng', 'institusi', 'polisi republik indonesia', 'depan']",negatif
11/02/2022 01:19:05,berdasar data yg bnyk meninggal krn omicron selain krn komorbid mrk belum divaksin lengkap wah jika begitu provokator anti vaksin hrsnya ikut bertanggung jawab,"['dasar', 'data', 'banyak', 'tinggal', 'omicron', 'komorbid', 'vaksin', 'lengkap', 'wah', 'provokator', 'anti', 'vaksin', 'hrsnya', 'ikut', 'tanggung', 'jawab']",negatif
11/02/2022 02:30:28,mestinya negara hadir utk menindak provikator anti vaksin secara pribadi sy pesimis terhdp kinerja,"['mesti', 'negara', 'hadir', 'tindak', 'provikator', 'anti', 'vaksin', 'pribadi', 'pesimis', 'terhdp', 'kerja']",negatif
11/02/2022 03:21:20,rakyat banyak yg ngga percaya pak dengan kinerja pak polisis banyak tebang pilih dan suka melakukan kekerasan dan itu dipertontonkan dimedia memalukan sebagai pengayom rakyat,"['rakyat', 'banyak', 'percaya', 'pak', 'kerja', 'pak', 'polis', 'banyak', 'tebang', 'pilih', 'suka', 'laku', 'keras', 'tonton', 'media', 'malu', 'ayom', 'rakyat']",negatif
13/02/2022 03:10:27,berkat kerjasama yang sinergis antara seluruh pihak khususnya tni polri berangsur angsur situasi wadas semakin membaik terciptanya kondisi ini tdk lepas dari pemulihan situasi melalui kegiatan positif oleh tni polri dlm bentuk bakti sosial wadaskondusif,"['berkat', 'kerjasama', 'sinergis', 'seluruh', 'pihak', 'khusus', 'tentara republik indonesia', 'polisi republik indonesia', 'angsur', 'angsur', 'situasi', 'wadas', 'makin', 'baik', 'cipta', 'kondisi', 'lepas', 'pulih', 'situasi', 'lalu', 'giat', 'positif', 'tentara republik indonesia', 'polisi republik indonesia', 'bentuk', 'bakti', 'sosial', 'wadaskondusif']",positif
13/02/2022 07:18:34,hayo pak pol kata nya mau memperbaiki kinerja ini bnyk loh keluhannya memang lbh baik di viralkan dr pd buat laporan ya,"['hayo', 'pak', 'pol', 'kata', 'mau', 'baik', 'kerja', 'banyak', 'keluh', 'memang', 'lebih', 'baik', 'viralkan', 'buat', 'lapor']",negatif
13/02/2022 07:25:02,imm jatim mendesak polri meminta maaf kepada warga wadas dan presiden jokowi mengevaluasi kinerja kepolisian wadas,"['imm', 'jatim', 'desak', 'polisi republik indonesia', 'minta', 'maaf', 'warga', 'wadas', 'presiden', 'jokowi', 'evaluasi', 'kerja', 'polisi', 'wadas']",negatif
13/02/2022 12:45:56,sjw tu selalu sudutkan polri kinerja polri tdk ada yg bener dimata sjw bahkan ketika ada anggota polri dg terpaksa tembak residivis yg bawa senjata api amp sajam yg menyerang dirinya di km sjw lagi menyudutkan polri trus sjw teriak polisi semena di wadas itu mbel gedes,"['sjw', 'tu', 'selalu', 'sudut', 'polisi republik indonesia', 'kerja', 'polisi republik indonesia', 'bener', 'mata', 'sjw', 'bahkan', 'anggota', 'polisi republik indonesia', 'paksa', 'tembak', 'residivis', 'bawa', 'senjata', 'api', 'sajam', 'serang', 'diri', 'sjw', 'sudut', 'polisi republik indonesia', 'trus', 'sjw', 'teriak', 'polisi', 'semena', 'wadas', 'mbel', 'gedes']",negatif
13/02/2022 14:37:36,ya kapan lagi di proses kalau ferdinand cepat sekali di proses kawal donk kinerja polri ini,"['kapan', 'proses', 'ferdinand', 'cepat', 'sekali', 'proses', 'kawal', 'donk', 'kerja', 'polisi republik indonesia']",negatif
13/02/2022 16:52:46,tangkap terduga teroris yakni ketua ji bersama anggota mui bengkulu ipw apresiasi kinerja polri densus,"['tangkap', 'duga', 'teroris', 'ketua', 'ji', 'sama', 'anggota', 'mui', 'bengkulu', 'ipw', 'apresiasi', 'kerja', 'polisi republik indonesia', 'densus']",positif
14/02/2022 03:00:58,menurut denny siregar aksi penembakan thd orang laskar fpi sudah menjadi keputusan yang tepat karena mereka dianggap sudah mengancam nyawa polisi sebelumnya kmpolisibelanegara bebaskan ipda yusmin briptu fikri,"['denny', 'siregar', 'aksi', 'tembak', 'thd', 'orang', 'laskar', 'fpi', 'jadi', 'putus', 'tepat', 'anggap', 'ancam', 'nyawa', 'polisi', 'belum', 'polisi bela negara', 'bebas', 'ipda', 'yusmin', 'briptu', 'fikri']",positif
14/02/2022 03:01:25,raih rating tertinggi penilaian kinerja polri kapolda sumut kita terus berkomitmen tingkatkan pelayanan masyarakat,"['raih', 'rating', 'tinggi', 'nilai', 'kerja', 'polisi republik indonesia', 'kepala polisi daerah', 'sumut', 'terus', 'komitmen', 'tingkat', 'layan', 'masyarakat']",positif
14/02/2022 03:02:20,kinerja anggota polri cukup bagus keamanan bangsa dan negara yg dikedepankan kmpolisibelanegara,"['kerja', 'anggota', 'polisi republik indonesia', 'cukup', 'bagus', 'aman', 'bangsa', 'negara', 'depan', 'polisi bela negara']",positif
14/02/2022 14:26:48,polres tebing tinggi raih rating tertinggi penilaian kinerja polri dan terus berkomitmen tingkatkan pelayanan masyarakat,"['polisi republik indonesia', 'tebing', 'tinggi', 'raih', 'rating', 'tinggi', 'nilai', 'kerja', 'polisi republik indonesia', 'terus', 'komitmen', 'tingkat', 'layan', 'masyarakat']",positif
15/02/2022 02:33:06,raih rating tertinggi penilaian kinerja polri kapolda sumut kita terus berkomitmen tingkatkan pelayanan masyarakat lewat news,"['raih', 'rating', 'tinggi', 'nilai', 'kerja', 'polisi republik indonesia', 'kepala polisi daerah', 'sumut', 'terus', 'komitmen', 'tingkat', 'layan', 'masyarakat', 'lewat', 'news']",positif
15/02/2022 07:36:15,ini kasus udah kayak sinetron episodenya nambah terus dan ceritanya makin ngk nyambung laporan masuk juli udah tahun bulan,"['kasus', 'kayak', 'sinetron', 'episode', 'nambah', 'terus', 'cerita', 'makin', 'ngk', 'nyambung', 'lapor', 'masuk', 'juli', 'tahun', 'bulan']",negatif
15/02/2022 07:40:04,terimakasih atas kinerja bapak tni polri semoga wadaskondusif,"['terimakasih', 'kerja', 'bapak', 'tentara republik indonesia', 'polisi republik indonesia', 'moga', 'wadaskondusif']",positif
15/02/2022 07:43:27,puslitbang polri pusat penelitian dan pengembangan polri melaksanakan penelitian tentang tingkat kepercayaan masyarakat terhadap kinerja polri dan survei indek kamtibmas di wilayah polres tapanuli tengah dan jajarannya pada hari selasa,"['puslitbang', 'polisi republik indonesia', 'pusat', 'teliti', 'kembang', 'polisi republik indonesia', 'laksana', 'teliti', 'tingkat', 'percaya', 'masyarakat', 'kerja', 'polisi republik indonesia', 'survei', 'indek', 'kamtibmas', 'wilayah', 'polisi republik indonesia', 'tapanuli', 'tengah', 'jajar', 'hari', 'selasa']",positif
15/02/2022 08:06:25,bapak kapolri bangga dengan kinerja polri saat ini kerja tanpa lelah dan tanpa pamrih wadaskondusif,"['bapak', 'kapolri', 'bangga', 'kerja', 'polisi republik indonesia', 'kerja', 'lelah', 'pamrih', 'wadaskondusif']",positif
15/02/2022 08:08:15,terimakasih atas kinerja nya tni polri wadaskondusif,"['terimakasih', 'kerja', 'tentara republik indonesia', 'polisi republik indonesia', 'wadaskondusif']",positif
15/02/2022 08:30:10,terimakasih tni polri atas kinerja serta peduli warga,"['terimakasih', 'tentara republik indonesia', 'polisi republik indonesia', 'kerja', 'peduli', 'warga']",positif
15/02/2022 08:33:27,tertinggi nilai kinerja polri kapolda sumut komit tingkatkan pelayanan publik via,"['tinggi', 'nilai', 'kerja', 'polisi republik indonesia', 'kepala polisi daerah', 'sumut', 'komit', 'tingkat', 'layan', 'publik', 'via']",positif
15/02/2022 09:03:45,hoax terbajingan adalah pemerintah itu sendiri polri sudah tidak ada baik nya kinerja polri di mata masyarakat mereka kerja hanya untuk penguasa yg serakah,"['hoax', 'bajing', 'perintah', 'sendiri', 'polisi republik indonesia', 'baik', 'kerja', 'polisi republik indonesia', 'mata', 'masyarakat', 'kerja', 'kuasa', 'serakah']",negatif
15/02/2022 14:11:12,tim puslitbang polri lakukan penelitian tingkat kepercayaan masyarakat terhadap kinerja polri di polres bintan lewat co id,"['tim', 'puslitbang', 'polisi republik indonesia', 'laku', 'teliti', 'tingkat', 'percaya', 'masyarakat', 'kerja', 'polisi republik indonesia', 'polisi republik indonesia', 'bintan', 'lewat', 'co', 'id']",positif
16/02/2022 03:30:54,bangga dengan kinerja polri yang selalu totalitas kpda masyarakat melayanidalampengabdian mengayomi jaga kamtibmas,"['bangga', 'kerja', 'polisi republik indonesia', 'selalu', 'totalitas', 'kpda', 'masyarakat', 'melayanidalampengabdian', 'ayom', 'jaga', 'kamtibmas']",positif
16/02/2022 03:47:10,kinerja polri patut diapresiasi nusantara miniatur indonesia,"['kerja', 'polisi republik indonesia', 'patut', 'apresiasi', 'nusantara', 'miniatur', 'indonesia']",positif
16/02/2022 04:29:56,puslitbang polri teliti tingkat kepercayaan masyarakat terhadap kinerja polres bintan,"['puslitbang', 'polisi republik indonesia', 'teliti', 'tingkat', 'percaya', 'masyarakat', 'kerja', 'polisi republik indonesia', 'bintan']",positif
16/02/2022 04:54:58,mantap buat kinerja polri dalam melayani masyarakat melayanidalampengabdian,"['mantap', 'buat', 'kerja', 'polisi republik indonesia', 'layan', 'masyarakat', 'melayanidalampengabdian']",positif
16/02/2022 05:45:47,petinggi polri amp petinggi partai nya saja seperti ini maka secara otomatis semua anak buah dibawa manut bae lalu kalau sudah seperti ini kepercayaan seperti apa lagi yang bisa diharapkan dari polri sampai sekarang kinerja polri semuanya omong kosong,"['petinggi', 'polisi republik indonesia', 'petinggi', 'partai', 'otomatis', 'semua', 'anak', 'buah', 'bawa', 'manut', 'bae', 'lalu', 'percaya', 'harap', 'polisi republik indonesia', 'kerja', 'polisi republik indonesia', 'semua', 'omong', 'kosong']",negatif
16/02/2022 06:18:27,jgn heran dg kinerja polkis wakanda klo yg diserang ada bau² islam mereka sengaja ulur dg berbagai alasan untung bukan di indonesia iya gak,"['heran', 'kerja', 'polkis', 'wakanda', 'serang', 'bau', 'islam', 'sengaja', 'ulur', 'bagai', 'alas', 'untung', 'bukan', 'indonesia']",negatif
16/02/2022 09:10:15,kinerja densus antireror polri ini telah berdampak pada penurunan indeks risiko pelaku terorisme amp memberikan multiplier effect untuk bangsa indonesia kerja keras densus berdampak pada meningkatnya stabilitas keamanan dan ketertiban masyarakat,"['kerja', 'densus', 'antireror', 'polisi republik indonesia', 'dampak', 'turun', 'indeks', 'risiko', 'laku', 'terorisme', 'beri', 'multiplier', 'effect', 'bangsa', 'indonesia', 'kerja', 'keras', 'densus', 'dampak', 'tingkat', 'stabilitas', 'aman', 'tertib', 'masyarakat']",positif
16/02/2022 10:18:09,mantap buat kinerja polri melayani masyarakat melayanidalampengabdian,"['mantap', 'buat', 'kerja', 'polisi republik indonesia', 'layan', 'masyarakat', 'melayanidalampengabdian']",positif
16/02/2022 11:12:32,raih rating tertinggi kinerja polri kapolda sumut kita terus berkomitmen tingkatkan pelayanan masyarakat,"['raih', 'rating', 'tinggi', 'kerja', 'polisi republik indonesia', 'kepala polisi daerah', 'sumut', 'terus', 'komitmen', 'tingkat', 'layan', 'masyarakat']",positif
16/02/2022 11:39:49,kinerja lembaga pemerintah polri kejaksaan ri amp kpk semakin efektif berani dan profesional dalam memberantas korupsi bersatu nusantara kuat,"['kerja', 'lembaga', 'perintah', 'polisi republik indonesia', 'jaksa', 'ri', 'kpk', 'makin', 'efektif', 'berani', 'profesional', 'berantas', 'korupsi', 'satu', 'nusantara', 'kuat']",positif
16/02/2022 12:53:51,jaman sby rakyat pada akur ya jaman sekarang saling cap nama nama hewan kadal gurun onta yaman kebo cikeas sapi cebong kampret kuda dll jaman sby rakyat kritis sama kinerja pemerintahan sekarang pada saling hujat,"['jaman', 'sby', 'rakyat', 'akur', 'jaman', 'saling', 'cap', 'nama', 'nama', 'hewan', 'kadal', 'gurun', 'onta', 'yaman', 'kebo', 'cikeas', 'sapi', 'cebong', 'kampret', 'kuda', 'dan lain', 'jaman', 'sby', 'rakyat', 'kritis', 'sama', 'kerja', 'perintah', 'saling', 'hujat']",negatif
16/02/2022 13:16:53,puslitbang polri survey kepercayaan masyarakat terhadap kinerja polres tanjungpinang,"['puslitbang', 'polisi republik indonesia', 'survey', 'percaya', 'masyarakat', 'kerja', 'polisi republik indonesia', 'tanjungpinang']",positif
16/02/2022 13:16:54,puslitbang polri survey kepercayaan masyarakat terhadap kinerja polres tanjungpinang,"['puslitbang', 'polisi republik indonesia', 'survey', 'percaya', 'masyarakat', 'kerja', 'polisi republik indonesia', 'tanjungpinang']",positif
17/02/2022 02:16:06,tingkatkan kinerja dalam penanganan terorisme densus antiteror kaji penambahan personel densusantiteror densustambahpersonel penangananterorisme polri jenderallistyosigitprabowo,"['tingkat', 'kerja', 'tangan', 'terorisme', 'densus', 'antiteror', 'kaji', 'tambah', 'personel', 'densusantiteror', 'densustambahpersonel', 'penangananterorisme', 'polisi republik indonesia', 'jenderallistyosigitprabowo']",positif
17/02/2022 03:07:58,kinerja lembaga pemerintah polri kejaksaan ri amp kpk semakin efektif berani dan profesional dalam memberantas korupsi bersatu nusantara kuat,"['kerja', 'lembaga', 'perintah', 'polisi republik indonesia', 'jaksa', 'ri', 'kpk', 'makin', 'efektif', 'berani', 'profesional', 'berantas', 'korupsi', 'satu', 'nusantara', 'kuat']",positif
19/02/2022 00:45:17,heran juga lihat kinerja aparat apakah harus selalu menunggu laporan bukankah aparat juga punya kemampuan memilah milah mana yg berpotensi membahayakan persatuan dan kesatuan,"['heran', 'kerja', 'aparat', 'selalu', 'tunggu', 'lapor', 'bukankah', 'aparat', 'punya', 'mampu', 'mem', 'mi', 'mana', 'potensi', 'bahaya', 'satu', 'satu']",negatif
19/02/2022 23:47:49,beginikah kinerja polri yg terukur wahai bapak koruptor dihukum gak sampai tahun tapi rakyat yg kelaparan tak perlu disidang dimatiin dalam penyidikan,"['begini', 'kerja', 'polisi republik indonesia', 'ukur', 'wahai', 'bapak', 'koruptor', 'hukum', 'tahun', 'rakyat', 'lapar', 'perlu', 'sidang', 'dimatiin', 'sidi']",negatif
20/02/2022 03:58:38,terima kasih jenderal respon kapolri atas permintaan sinta aulia anak penderita tumor kaki yang ingin sembuh dan bercita cita menjadi polwan polriresponsif,"['terima', 'kasih', 'jenderal', 'respon', 'kapolri', 'minta', 'sinta', 'aulia', 'anak', 'derita', 'tumor', 'kaki', 'sembuh', 'cita', 'cita', 'jadi', 'polwan', 'polisi republik indonesia responsif']",positif
20/02/2022 04:25:42,kapolres rohil pimpin rapat anev sebagai upaya meningkatkan kinerja polri,"['kepala polisi republik indonesia', 'rohil', 'pimpin', 'rapat', 'anev', 'upaya', 'tingkat', 'kerja', 'polisi republik indonesia']",positif
20/02/2022 04:25:50,mantap untuk kinerja polripolriresponsif,"['mantap', 'kerja', 'polisi republik indonesia responsif']",positif
20/02/2022 04:27:15,mantaf untuk kinerja polri polriresponsif,"['mantaf', 'kerja', 'polisi republik indonesia', 'polisi republik indonesia responsif']",positif
20/02/2022 04:38:44,kapolres rohil pimpin rapat anev sebagai upaya meningkatkan kinerja polri,"['kepala polisi republik indonesia', 'rohil', 'pimpin', 'rapat', 'anev', 'upaya', 'tingkat', 'kerja', 'polisi republik indonesia']",positif
20/02/2022 04:49:02,kapolres rohil pimpin rapat anev sebagai upaya meningkatkan kinerja polri,"['kepala polisi republik indonesia', 'rohil', 'pimpin', 'rapat', 'anev', 'upaya', 'tingkat', 'kerja', 'polisi republik indonesia']",positif
20/02/2022 10:55:01,kinerja terbaik tni polri peduliwadas,"['kerja', 'baik', 'tentara republik indonesia', 'polisi republik indonesia', 'peduliwadas']",positif
20/02/2022 11:55:54,seru yaaa klo tandingannya pake klrg preaiden disejajarkan dng kinerja level gubernur doanl,"['seru', 'tanding', 'keluarga', 'presiden', 'sejajar', 'dng', 'kerja', 'tingkat', 'gubernur']",negatif
20/02/2022 13:00:06,bener kinerja makin paraaaaaaaah kasian juga pak kapolri anak buahnya pada makin presisi,"['bener', 'kerja', 'makin', 'parah', 'kasihan', 'pak', 'kapolri', 'anak', 'buah', 'makin', 'presisi']",negatif
21/02/2022 00:32:24,lebih lanjut lagi presiden menegaskan kepada polri untuk tidak ragu berantas mafia tanah dan aparat yg membekingi cc kapolri dalam kasus dokter ini momentum polri utk membuktikan kinerja berpihak pada masyarakat dlm menjalankan perintah pak jokowi,"['lebih', 'lanjut', 'presiden', 'tegas', 'polisi republik indonesia', 'ragu', 'berantas', 'mafia', 'tanah', 'aparat', 'beking', 'cc', 'kapolri', 'kasus', 'dokter', 'momentum', 'polisi republik indonesia', 'bukti', 'kerja', 'pihak', 'masyarakat', 'jalan', 'perintah', 'pak', 'jokowi']",positif
21/02/2022 03:49:16,kinerja densus anti teror polri memberi efek ganda,"['kerja', 'densus', 'anti', 'teror', 'polisi republik indonesia', 'beri', 'efek', 'ganda']",negatif
